X,Y,Z,R,G,B
152099.718750,817253.750000,0.000000,255,0,0
152099.171875,817254.125000,0.000001,255,0,0
152098.921875,817254.312500,0.000002,255,0,0
152098.640625,817254.375000,0.000003,255,0,0
152098.640625,817254.375000,0.000004,255,0,0
152098.640625,817254.375000,0.000005,255,0,0
152098.250000,817254.687500,0.000006,255,0,0
152097.968750,817254.750000,0.000007,255,0,0
152097.703125,817254.937500,0.000008,255,0,0
152097.296875,817255.187500,0.000009,255,0,0
152097.296875,817255.187500,0.000010,255,0,0
152097.031250,817255.312500,0.000011,255,0,0
152096.750000,817255.437500,0.000012,255,0,0
152096.234375,817255.750000,0.000013,255,0,0
152095.953125,817255.812500,0.000014,255,0,0
152095.828125,817255.875000,0.000015,255,0,0
152095.265625,817256.125000,0.000016,255,0,0
152095.000000,817256.312500,0.000017,255,0,0
152095.000000,817256.312500,0.000018,255,0,0
152094.875000,817256.500000,0.000019,255,0,0
152094.328125,817256.750000,0.000020,255,0,0
152094.328125,817256.750000,0.000021,255,0,0
152094.203125,817256.937500,0.000022,255,0,0
152094.203125,817256.937500,0.000023,255,0,0
152093.921875,817257.125000,0.000024,255,0,0
152093.921875,817257.125000,0.000025,255,0,0
152093.531250,817257.437500,0.000026,255,0,0
152093.250000,817257.500000,0.000027,255,0,0
152092.984375,817257.687500,0.000028,255,0,0
152092.578125,817257.937500,0.000029,255,0,0
152092.296875,817258.062500,0.000030,255,0,0
152092.046875,817258.187500,0.000031,255,0,0
152091.781250,817258.437500,0.000032,255,0,0
152091.500000,817258.562500,0.000033,255,0,0
152091.375000,817258.750000,0.000034,255,0,0
152091.375000,817258.750000,0.000035,255,0,0
152090.828125,817259.000000,0.000036,255,0,0
152090.828125,817259.000000,0.000037,255,0,0
152090.546875,817259.062500,0.000038,255,0,0
152090.546875,817259.062500,0.000039,255,0,0
152090.421875,817259.187500,0.000040,255,0,0
152089.875000,817259.375000,0.000041,255,0,0
152089.625000,817259.500000,0.000042,255,0,0
152089.484375,817259.625000,0.000043,255,0,0
152088.953125,817259.875000,0.000044,255,0,0
152088.671875,817260.000000,0.000045,255,0,0
152088.546875,817260.062500,0.000046,255,0,0
152088.000000,817260.437500,0.000047,255,0,0
152088.000000,817260.437500,0.000048,255,0,0
152087.734375,817260.500000,0.000049,255,0,0
152087.734375,817260.500000,0.000050,255,0,0
152087.609375,817260.625000,0.000051,255,0,0
152087.609375,817260.625000,0.000052,255,0,0
152087.609375,817260.625000,0.000053,255,0,0
152087.203125,817260.875000,0.000054,255,0,0
152086.937500,817260.937500,0.000055,255,0,0
152086.937500,817260.937500,0.000056,255,0,0
152086.640625,817261.125000,0.000057,255,0,0
152086.375000,817261.312500,0.000058,255,0,0
152086.375000,817261.312500,0.000059,255,0,0
152086.125000,817261.437500,0.000060,255,0,0
152086.125000,817261.437500,0.000061,255,0,0
152085.968750,817261.562500,0.000062,255,0,0
152085.968750,817261.562500,0.000063,255,0,0
152085.578125,817261.812500,0.000064,255,0,0
152085.296875,817261.937500,0.000065,255,0,0
152085.296875,817261.937500,0.000066,255,0,0
152085.171875,817262.062500,0.000067,255,0,0
152085.171875,817262.062500,0.000068,255,0,0
152084.625000,817262.250000,0.000069,255,0,0
152084.625000,817262.250000,0.000070,255,0,0
152084.500000,817262.437500,0.000071,255,0,0
152084.500000,817262.437500,0.000072,255,0,0
152084.234375,817262.562500,0.000073,255,0,0
152084.234375,817262.562500,0.000074,255,0,0
152083.828125,817262.750000,0.000075,255,0,0
152083.828125,817262.750000,0.000076,255,0,0
152083.546875,817262.875000,0.000077,255,0,0
