X,Y,Z,R,G,B
147609.421875,816925.062500,0.000000,0,255,0
147568.000000,816901.375000,0.000001,0,255,0
147857.765625,816740.312500,0.000002,0,255,0
149487.453125,817365.000000,0.000003,0,255,0
151372.500000,817731.000000,0.000004,0,255,0
147602.234375,817082.125000,0.000005,0,255,0
147388.421875,817083.687500,0.000006,0,255,0
147330.843750,817144.375000,0.000007,0,255,0
147281.953125,816932.937500,0.000008,0,255,0
147431.843750,816959.062500,0.000009,0,255,0
147538.828125,816974.062500,0.000010,0,255,0
147579.031250,816996.812500,0.000011,0,255,0
146850.250000,817287.125000,0.000012,0,255,0
147177.875000,817225.312500,0.000013,0,255,0
147603.421875,816997.375000,0.000014,0,255,0
147049.234375,816962.687500,0.000015,0,255,0
147163.656250,816949.437500,0.000016,0,255,0
151074.125000,817016.625000,0.000017,0,255,0
151507.109375,816779.250000,0.000018,0,255,0
151510.500000,816795.125000,0.000019,0,255,0
151503.406250,816801.062500,0.000020,0,255,0
147520.281250,817061.875000,0.000021,0,255,0
147507.703125,817081.062500,0.000022,0,255,0
147665.312500,817166.437500,0.000023,0,255,0
147534.140625,817521.062500,0.000024,0,255,0
147533.156250,817207.750000,0.000025,0,255,0
147608.218750,816747.625000,0.000026,0,255,0
147623.718750,816779.875000,0.000027,0,255,0
147617.812500,816767.875000,0.000028,0,255,0
147639.375000,816762.000000,0.000029,0,255,0
147643.328125,816793.812500,0.000030,0,255,0
147659.984375,816754.937500,0.000031,0,255,0
147673.093750,816683.250000,0.000032,0,255,0
147725.984375,816668.437500,0.000033,0,255,0
147742.984375,816674.437500,0.000034,0,255,0
147747.734375,816684.250000,0.000035,0,255,0
147789.890625,817265.312500,0.000036,0,255,0
149046.031250,817729.812500,0.000037,0,255,0
147532.390625,816657.500000,0.000038,0,255,0
147540.843750,816718.437500,0.000039,0,255,0
147487.843750,816666.562500,0.000040,0,255,0
147559.281250,816811.375000,0.000041,0,255,0
147560.156250,816770.125000,0.000042,0,255,0
147663.859375,816771.625000,0.000043,0,255,0
147429.156250,816711.875000,0.000044,0,255,0
147616.000000,816841.875000,0.000045,0,255,0
147400.796875,816690.187500,0.000046,0,255,0
147663.593750,816888.687500,0.000047,0,255,0
147533.125000,817130.750000,0.000048,0,255,0
147533.046875,817258.187500,0.000049,0,255,0
147588.671875,817081.625000,0.000050,0,255,0
147530.796875,817063.750000,0.000051,0,255,0
147629.515625,817304.687500,0.000052,0,255,0
147627.156250,817318.937500,0.000053,0,255,0
147618.015625,817286.000000,0.000054,0,255,0
147735.578125,817272.062500,0.000055,0,255,0
147759.296875,817206.687500,0.000056,0,255,0
147748.062500,817262.875000,0.000057,0,255,0
147828.968750,817197.000000,0.000058,0,255,0
147696.453125,817165.875000,0.000059,0,255,0
147692.390625,817173.187500,0.000060,0,255,0
147530.531250,817088.500000,0.000061,0,255,0
147788.656250,817257.062500,0.000062,0,255,0
147792.750000,817234.625000,0.000063,0,255,0
147833.281250,817232.250000,0.000064,0,255,0
147554.562500,817001.562500,0.000065,0,255,0
147538.468750,817019.000000,0.000066,0,255,0
147611.406250,817094.750000,0.000067,0,255,0
147434.359375,817063.437500,0.000068,0,255,0
147425.968750,817151.875000,0.000069,0,255,0
147687.093750,816719.187500,0.000070,0,255,0
147682.625000,816736.125000,0.000071,0,255,0
147697.796875,816826.437500,0.000072,0,255,0
147708.078125,816823.125000,0.000073,0,255,0
147689.531250,816818.250000,0.000074,0,255,0
147603.625000,816911.187500,0.000075,0,255,0
147584.765625,816917.437500,0.000076,0,255,0
147611.812500,816881.750000,0.000077,0,255,0
147563.234375,817034.562500,0.000078,0,255,0
147564.515625,817037.125000,0.000079,0,255,0
147547.953125,817087.125000,0.000080,0,255,0
147558.046875,817036.062500,0.000081,0,255,0
147710.531250,816834.375000,0.000082,0,255,0
147565.328125,816965.625000,0.000083,0,255,0
147568.390625,816973.250000,0.000084,0,255,0
147220.078125,817254.250000,0.000085,0,255,0
147179.562500,817260.562500,0.000086,0,255,0
147154.859375,817274.750000,0.000087,0,255,0
147665.843750,816883.625000,0.000088,0,255,0
147567.796875,816978.500000,0.000089,0,255,0
147491.296875,817054.500000,0.000090,0,255,0
147768.515625,816788.562500,0.000091,0,255,0
148657.125000,816646.875000,0.000092,0,255,0
148676.390625,816654.062500,0.000093,0,255,0
148743.421875,816687.687500,0.000094,0,255,0
148579.687500,816655.937500,0.000095,0,255,0
147979.140625,816702.562500,0.000096,0,255,0
147630.937500,816736.375000,0.000097,0,255,0
147628.875000,816733.750000,0.000098,0,255,0
147627.625000,816731.437500,0.000099,0,255,0
147633.078125,816729.437500,0.000100,0,255,0
147637.093750,816733.625000,0.000101,0,255,0
147636.593750,816731.312500,0.000102,0,255,0
147637.921875,816736.937500,0.000103,0,255,0
151113.093750,817016.875000,0.000104,0,255,0
147976.359375,816707.750000,0.000105,0,255,0
147591.984375,816834.625000,0.000106,0,255,0
147445.078125,816813.500000,0.000107,0,255,0
147442.015625,816818.937500,0.000108,0,255,0
147410.203125,816859.562500,0.000109,0,255,0
147354.515625,816904.312500,0.000110,0,255,0
147341.937500,816897.250000,0.000111,0,255,0
147334.218750,816888.687500,0.000112,0,255,0
