X,Y,Z,R,G,B
148041.546875,816776.312500,0.000000,0,255,255
148037.296875,816774.625000,0.000001,0,255,255
148036.703125,816774.312500,0.000002,0,255,255
148035.578125,816773.812500,0.000003,0,255,255
148035.437500,816773.625000,0.000004,0,255,255
148034.812500,816773.437500,0.000005,0,255,255
148034.140625,816772.937500,0.000006,0,255,255
148032.625000,816772.000000,0.000007,0,255,255
148032.203125,816771.562500,0.000008,0,255,255
148032.031250,816771.437500,0.000009,0,255,255
148031.906250,816771.375000,0.000010,0,255,255
148031.281250,816770.937500,0.000011,0,255,255
148030.781250,816770.562500,0.000012,0,255,255
148030.671875,816770.375000,0.000013,0,255,255
148029.765625,816770.125000,0.000014,0,255,255
148029.593750,816770.000000,0.000015,0,255,255
148028.656250,816769.562500,0.000016,0,255,255
148027.671875,816769.000000,0.000017,0,255,255
148027.484375,816768.875000,0.000018,0,255,255
148026.812500,816768.500000,0.000019,0,255,255
148025.765625,816768.062500,0.000020,0,255,255
148024.843750,816767.750000,0.000021,0,255,255
148023.828125,816767.375000,0.000022,0,255,255
148023.640625,816767.312500,0.000023,0,255,255
148022.578125,816766.812500,0.000024,0,255,255
148021.828125,816766.437500,0.000025,0,255,255
148021.375000,816766.062500,0.000026,0,255,255
148021.406250,816766.000000,0.000027,0,255,255
148021.296875,816765.875000,0.000028,0,255,255
148020.703125,816765.562500,0.000029,0,255,255
148020.687500,816765.437500,0.000030,0,255,255
148020.250000,816765.312500,0.000031,0,255,255
148019.390625,816764.750000,0.000032,0,255,255
148018.593750,816764.437500,0.000033,0,255,255
148017.796875,816764.000000,0.000034,0,255,255
148017.375000,816763.562500,0.000035,0,255,255
148016.531250,816763.000000,0.000036,0,255,255
148016.000000,816762.812500,0.000037,0,255,255
148015.953125,816762.625000,0.000038,0,255,255
148014.875000,816761.875000,0.000039,0,255,255
148014.843750,816761.812500,0.000040,0,255,255
148014.281250,816761.562500,0.000041,0,255,255
148013.890625,816761.312500,0.000042,0,255,255
148013.968750,816761.312500,0.000043,0,255,255
148013.531250,816761.000000,0.000044,0,255,255
148013.140625,816760.937500,0.000045,0,255,255
148011.671875,816760.437500,0.000046,0,255,255
148011.125000,816760.062500,0.000047,0,255,255
148010.968750,816760.000000,0.000048,0,255,255
148010.265625,816759.500000,0.000049,0,255,255
148009.765625,816759.187500,0.000050,0,255,255
148008.906250,816758.687500,0.000051,0,255,255
148008.015625,816758.125000,0.000052,0,255,255
148007.000000,816757.687500,0.000053,0,255,255
148006.156250,816757.250000,0.000054,0,255,255
148005.140625,816756.312500,0.000055,0,255,255
148004.562500,816755.687500,0.000056,0,255,255
148004.078125,816755.187500,0.000057,0,255,255
148003.453125,816754.750000,0.000058,0,255,255
148002.843750,816754.062500,0.000059,0,255,255
148002.187500,816753.562500,0.000060,0,255,255
148001.921875,816753.375000,0.000061,0,255,255
148001.406250,816753.000000,0.000062,0,255,255
148001.281250,816752.875000,0.000063,0,255,255
148001.140625,816752.687500,0.000064,0,255,255
148000.812500,816752.125000,0.000065,0,255,255
148000.031250,816751.687500,0.000066,0,255,255
147999.015625,816751.125000,0.000067,0,255,255
147998.171875,816750.500000,0.000068,0,255,255
147997.468750,816749.875000,0.000069,0,255,255
147996.718750,816749.312500,0.000070,0,255,255
147996.125000,816748.750000,0.000071,0,255,255
147995.343750,816748.187500,0.000072,0,255,255
147994.625000,816747.687500,0.000073,0,255,255
147994.218750,816747.187500,0.000074,0,255,255
147993.421875,816746.687500,0.000075,0,255,255
147992.312500,816746.000000,0.000076,0,255,255
147991.390625,816745.250000,0.000077,0,255,255
147990.625000,816744.687500,0.000078,0,255,255
147990.281250,816744.562500,0.000079,0,255,255
147989.500000,816743.875000,0.000080,0,255,255
147988.765625,816743.312500,0.000081,0,255,255
147987.968750,816742.750000,0.000082,0,255,255
147987.187500,816742.187500,0.000083,0,255,255
147986.968750,816742.125000,0.000084,0,255,255
147986.125000,816741.500000,0.000085,0,255,255
147985.765625,816741.125000,0.000086,0,255,255
147985.625000,816740.937500,0.000087,0,255,255
147985.296875,816740.562500,0.000088,0,255,255
147984.859375,816740.062500,0.000089,0,255,255
147984.796875,816739.437500,0.000090,0,255,255
147984.812500,816739.250000,0.000091,0,255,255
147984.515625,816738.812500,0.000092,0,255,255
147984.421875,816738.500000,0.000093,0,255,255
147984.453125,816738.375000,0.000094,0,255,255
147983.984375,816737.750000,0.000095,0,255,255
147983.656250,816737.312500,0.000096,0,255,255
147983.500000,816737.000000,0.000097,0,255,255
147982.953125,816736.437500,0.000098,0,255,255
147982.843750,816736.250000,0.000099,0,255,255
147982.484375,816735.625000,0.000100,0,255,255
147982.187500,816735.500000,0.000101,0,255,255
147981.875000,816734.750000,0.000102,0,255,255
147981.328125,816734.250000,0.000103,0,255,255
147981.078125,816734.125000,0.000104,0,255,255
147980.593750,816733.562500,0.000105,0,255,255
147980.546875,816732.937500,0.000106,0,255,255
147980.281250,816732.375000,0.000107,0,255,255
147979.890625,816732.187500,0.000108,0,255,255
147979.796875,816731.500000,0.000109,0,255,255
147979.906250,816731.125000,0.000110,0,255,255
147979.843750,816730.687500,0.000111,0,255,255
147979.906250,816730.500000,0.000112,0,255,255
147979.812500,816729.750000,0.000113,0,255,255
147979.406250,816729.250000,0.000114,0,255,255
147978.859375,816728.812500,0.000115,0,255,255
147978.265625,816728.375000,0.000116,0,255,255
147977.328125,816727.687500,0.000117,0,255,255
147977.234375,816727.562500,0.000118,0,255,255
147977.140625,816727.250000,0.000119,0,255,255
147977.015625,816726.625000,0.000120,0,255,255
147976.750000,816726.437500,0.000121,0,255,255
147976.671875,816726.062500,0.000122,0,255,255
147976.484375,816725.812500,0.000123,0,255,255
147976.265625,816725.687500,0.000124,0,255,255
147976.093750,816725.562500,0.000125,0,255,255
147975.828125,816725.062500,0.000126,0,255,255
147975.500000,816724.437500,0.000127,0,255,255
147972.828125,816721.687500,0.000128,0,255,255
147972.781250,816721.375000,0.000129,0,255,255
148140.281250,816770.125000,0.000130,0,255,255
148140.203125,816770.125000,0.000131,0,255,255
148140.234375,816770.125000,0.000132,0,255,255
148141.843750,816771.312500,0.000133,0,255,255
148141.953125,816771.500000,0.000134,0,255,255
148142.015625,816771.625000,0.000135,0,255,255
148142.140625,816771.687500,0.000136,0,255,255
148142.281250,816771.750000,0.000137,0,255,255
148142.375000,816771.812500,0.000138,0,255,255
148142.906250,816771.437500,0.000139,0,255,255
148143.203125,816771.312500,0.000140,0,255,255
148143.421875,816771.062500,0.000141,0,255,255
148143.687500,816771.000000,0.000142,0,255,255
