X,Y,Z,R,G,B
147562.421875,817074.687500,0.000000,255,255,0
148320.109375,817799.750000,0.000001,255,255,0
149821.078125,817998.500000,0.000002,255,255,0
150064.421875,816940.937500,0.000003,255,255,0
147601.359375,817512.250000,0.000004,255,255,0
147235.484375,816955.312500,0.000005,255,255,0
147525.421875,817235.812500,0.000006,255,255,0
148697.921875,816660.187500,0.000007,255,255,0
148087.156250,816713.562500,0.000008,255,255,0
151117.734375,817064.625000,0.000009,255,255,0
150744.875000,817019.000000,0.000010,255,255,0
147519.812500,817764.625000,0.000011,255,255,0
147579.671875,817880.250000,0.000012,255,255,0
149458.546875,816836.937500,0.000013,255,255,0
148938.000000,816830.625000,0.000014,255,255,0
150027.093750,816582.312500,0.000015,255,255,0
151031.703125,816664.062500,0.000016,255,255,0
151367.968750,816703.000000,0.000017,255,255,0
150468.828125,816769.437500,0.000018,255,255,0
150290.484375,816647.562500,0.000019,255,255,0
146847.390625,817299.062500,0.000020,255,255,0
147935.109375,817170.687500,0.000021,255,255,0
147142.796875,817260.812500,0.000022,255,255,0
147361.625000,816721.937500,0.000023,255,255,0
147106.203125,817310.500000,0.000024,255,255,0
147745.562500,816772.750000,0.000025,255,255,0
150705.781250,817135.750000,0.000026,255,255,0
150917.046875,816962.187500,0.000027,255,255,0
151385.062500,816798.250000,0.000028,255,255,0
151478.125000,817209.812500,0.000029,255,255,0
151510.312500,817148.500000,0.000030,255,255,0
151092.578125,816978.000000,0.000031,255,255,0
150536.531250,817001.000000,0.000032,255,255,0
150352.265625,816584.687500,0.000033,255,255,0
149285.406250,816702.625000,0.000034,255,255,0
149058.828125,818101.500000,0.000035,255,255,0
149987.531250,818178.500000,0.000036,255,255,0
147756.156250,818018.125000,0.000037,255,255,0
149744.546875,817729.750000,0.000038,255,255,0
148717.593750,817584.437500,0.000039,255,255,0
149369.468750,817816.062500,0.000040,255,255,0
149517.562500,817920.375000,0.000041,255,255,0
147431.765625,817625.375000,0.000042,255,255,0
148979.718750,817699.875000,0.000043,255,255,0
148797.468750,817895.937500,0.000044,255,255,0
148938.265625,816755.875000,0.000045,255,255,0
148151.968750,817994.562500,0.000046,255,255,0
147965.687500,817895.437500,0.000047,255,255,0
148595.421875,817533.250000,0.000048,255,255,0
148442.234375,818121.437500,0.000049,255,255,0
148454.796875,817971.812500,0.000050,255,255,0
147673.718750,817879.000000,0.000051,255,255,0
147829.546875,817701.125000,0.000052,255,255,0
147613.328125,817680.312500,0.000053,255,255,0
148508.500000,818054.500000,0.000054,255,255,0
148169.109375,817661.687500,0.000055,255,255,0
148368.953125,817730.875000,0.000056,255,255,0
148025.296875,817881.937500,0.000057,255,255,0
147980.937500,817477.562500,0.000058,255,255,0
147885.656250,817466.062500,0.000059,255,255,0
147653.953125,817408.625000,0.000060,255,255,0
148597.265625,817998.500000,0.000061,255,255,0
147678.953125,818117.625000,0.000062,255,255,0
149509.359375,817746.125000,0.000063,255,255,0
149336.593750,817859.812500,0.000064,255,255,0
149552.718750,817839.000000,0.000065,255,255,0
149569.781250,818020.250000,0.000066,255,255,0
148023.343750,817856.625000,0.000067,255,255,0
149239.093750,818116.000000,0.000068,255,255,0
148965.015625,818059.187500,0.000069,255,255,0
148666.812500,817894.562500,0.000070,255,255,0
147603.890625,816620.500000,0.000071,255,255,0
148229.750000,817585.000000,0.000072,255,255,0
147688.593750,817656.500000,0.000073,255,255,0
