X,Y,Z,R,G,B
266.947754,-105.400085,0.000010,46,204,113
265.517242,-104.942322,0.000020,46,204,113
264.086731,-104.484558,0.000030,46,204,113
262.656219,-104.026794,0.000040,46,204,113
261.225708,-103.569031,0.000050,46,204,113
259.795197,-103.111267,0.000060,46,204,113
258.364685,-102.653503,0.000070,46,204,113
256.934174,-102.195740,0.000080,46,204,113
255.503662,-101.737976,0.000090,46,204,113
254.073151,-101.280212,0.000100,46,204,113
252.642639,-100.822449,0.000110,46,204,113
251.212128,-100.364685,0.000120,46,204,113
249.781616,-99.906921,0.000130,46,204,113
248.351105,-99.449158,0.000140,46,204,113
246.920593,-98.991394,0.000150,46,204,113
245.490082,-98.533630,0.000160,46,204,113
244.059570,-98.075867,0.000170,46,204,113
242.629059,-97.618103,0.000180,46,204,113
241.198547,-97.160339,0.000190,46,204,113
239.768036,-96.702576,0.000200,46,204,113
238.337524,-96.244812,0.000210,46,204,113
236.907013,-95.787048,0.000220,46,204,113
235.476501,-95.329285,0.000230,46,204,113
234.045990,-94.871521,0.000240,46,204,113
232.615479,-94.413757,0.000250,46,204,113
231.184967,-93.955994,0.000260,46,204,113
229.754456,-93.498230,0.000270,46,204,113
228.323944,-93.040466,0.000280,46,204,113
225.634583,-92.124939,0.000290,46,204,113
224.204071,-91.667175,0.000300,46,204,113
222.773560,-91.209412,0.000310,46,204,113
221.343048,-90.751648,0.000320,46,204,113
219.912537,-90.293884,0.000330,46,204,113
218.482025,-89.836121,0.000340,46,204,113
216.579437,-89.149475,0.000350,46,204,113
215.249054,-88.462830,0.000360,46,204,113
213.918686,-87.776184,0.000370,46,204,113
212.588318,-87.089539,0.000380,46,204,113
210.914612,-86.231232,0.000390,46,204,113
209.498413,-85.773468,0.000400,46,204,113
206.680298,-84.800720,0.000410,46,204,113
204.663269,-84.800720,0.000420,46,204,113
203.247070,-84.285736,0.000430,46,204,113
201.830872,-83.770752,0.000440,46,204,113
200.414658,-83.255768,0.000450,46,204,113
198.998444,-82.740784,0.000460,46,204,113
197.153091,-82.225800,0.000470,46,204,113
195.751190,-81.653595,0.000480,46,204,113
194.349289,-81.081390,0.000490,46,204,113
192.947388,-80.509186,0.000500,46,204,113
191.545486,-79.936981,0.000510,46,204,113
190.143585,-79.364777,0.000520,46,204,113
188.741684,-78.792572,0.000530,46,204,113
187.339783,-78.220367,0.000540,46,204,113
185.937881,-77.648163,0.000550,46,204,113
184.535980,-77.075958,0.000560,46,204,113
183.134079,-76.503754,0.000570,46,204,113
181.732178,-75.931549,0.000580,46,204,113
180.330276,-75.359344,0.000590,46,204,113
178.928375,-74.787140,0.000600,46,204,113
177.369110,-74.443817,0.000610,46,204,113
156.211853,-66.604614,0.000620,46,204,113
-128.660202,29.239655,0.000630,46,204,113
-130.147934,29.411316,0.000640,46,204,113
-131.635666,29.582977,0.000650,46,204,113
-133.123398,29.754639,0.000660,46,204,113
-134.611130,29.926300,0.000670,46,204,113
-136.098862,30.097961,0.000680,46,204,113
-137.586594,30.269623,0.000690,46,204,113
-139.074326,30.441284,0.000700,46,204,113
-140.562057,30.612946,0.000710,46,204,113
-142.493256,30.612946,0.000720,46,204,113
-143.995285,30.670166,0.000730,46,204,113
-145.497314,30.727386,0.000740,46,204,113
-146.999359,30.784607,0.000750,46,204,113
-148.501404,30.841827,0.000760,46,204,113
-150.003433,30.899048,0.000770,46,204,113
-151.505463,30.956268,0.000780,46,204,113
-153.007507,31.013489,0.000790,46,204,113
-154.509552,31.070709,0.000800,46,204,113
-156.011581,31.127930,0.000810,46,204,113
-157.513611,31.185150,0.000820,46,204,113
-159.015656,31.242371,0.000830,46,204,113
-160.517700,31.299591,0.000840,46,204,113
-162.019730,31.356812,0.000850,46,204,113
-163.521759,31.414032,0.000860,46,204,113
-165.023804,31.471252,0.000870,46,204,113
-166.525848,31.528473,0.000880,46,204,113
-168.027878,31.585693,0.000890,46,204,113
-170.288086,31.528473,0.000900,46,204,113
-171.790131,31.528473,0.000910,46,204,113
-173.292160,31.528473,0.000920,46,204,113
-174.794189,31.528473,0.000930,46,204,113
-176.296234,31.528473,0.000940,46,204,113
-177.798279,31.528473,0.000950,46,204,113
-179.300308,31.528473,0.000960,46,204,113
-180.802338,31.528473,0.000970,46,204,113
-182.304382,31.528473,0.000980,46,204,113
-183.806427,31.528473,0.000990,46,204,113
-185.308456,31.528473,0.001000,46,204,113
-186.810486,31.528473,0.001010,46,204,113
-188.312531,31.528473,0.001020,46,204,113
-191.030502,31.700134,0.001030,46,204,113
-192.532532,31.642914,0.001040,46,204,113
-194.034576,31.585693,0.001050,46,204,113
-195.536621,31.528473,0.001060,46,204,113
-197.038651,31.471252,0.001070,46,204,113
-198.540680,31.414032,0.001080,46,204,113
-200.042725,31.356812,0.001090,46,204,113
-201.544769,31.299591,0.001100,46,204,113
-203.046799,31.242371,0.001110,46,204,113
-204.548828,31.185150,0.001120,46,204,113
-206.050873,31.127930,0.001130,46,204,113
-207.552917,31.070709,0.001140,46,204,113
-209.054947,31.013489,0.001150,46,204,113
-210.556976,30.956268,0.001160,46,204,113
-212.059021,30.899048,0.001170,46,204,113
-213.561066,30.841827,0.001180,46,204,113
-215.935699,31.185150,0.001190,46,204,113
-217.437744,31.242371,0.001200,46,204,113
-218.939789,31.299591,0.001210,46,204,113
-220.441818,31.356812,0.001220,46,204,113
-221.943848,31.414032,0.001230,46,204,113
-223.445892,31.471252,0.001240,46,204,113
-225.648880,31.642914,0.001250,46,204,113
-227.122314,31.929016,0.001260,46,204,113
-228.595734,32.215118,0.001270,46,204,113
-231.471069,32.844543,0.001280,46,204,113
-234.189026,33.416748,0.001290,46,204,113
-235.548019,32.787323,0.001300,46,204,113
-236.907013,32.157898,0.001310,46,204,113
-238.795288,31.299591,0.001320,46,204,113
-240.268707,31.070709,0.001330,46,204,113
-241.742126,30.841827,0.001340,46,204,113
-243.215561,30.612946,0.001350,46,204,113
-245.032318,30.269623,0.001360,46,204,113
-246.534348,30.384064,0.001370,46,204,113
-248.036377,30.498505,0.001380,46,204,113
-249.538422,30.612946,0.001390,46,204,113
-252.356537,30.727386,0.001400,46,204,113
-253.844269,30.841827,0.001410,46,204,113
-255.332001,30.956268,0.001420,46,204,113
-256.819733,31.070709,0.001430,46,204,113
-258.307465,31.185150,0.001440,46,204,113
-259.795197,31.299591,0.001450,46,204,113
-261.940948,31.585693,0.001460,46,204,113
-264.158264,31.585693,0.001470,46,204,113
-265.588745,31.127930,0.001480,46,204,113
-267.019287,30.670166,0.001490,46,204,113
-268.449768,30.212402,0.001500,46,204,113
-270.209320,29.640198,0.001510,46,204,113
-271.711365,29.640198,0.001520,46,204,113
-274.672516,29.582977,0.001530,46,204,113
-276.160248,29.754639,0.001540,46,204,113
-277.647980,29.926300,0.001550,46,204,113
-279.135712,30.097961,0.001560,46,204,113
-280.623444,30.269623,0.001570,46,204,113
-282.111176,30.441284,0.001580,46,204,113
-283.970825,30.784607,0.001590,46,204,113
-285.444275,31.013489,0.001600,46,204,113
-286.917694,31.242371,0.001610,46,204,113
-288.391113,31.471252,0.001620,46,204,113
-289.864532,31.700134,0.001630,46,204,113
-292.654053,32.272339,0.001640,46,204,113
-294.141785,32.501221,0.001650,46,204,113
-295.629517,32.730103,0.001660,46,204,113
-298.419006,33.187866,0.001670,46,204,113
-301.136963,33.531189,0.001680,46,204,113
-303.955078,32.844543,0.001690,46,204,113
-305.571564,30.670166,0.001700,46,204,113
-306.773193,29.754639,0.001710,46,204,113
-307.974823,28.839111,0.001720,46,204,113
-309.448242,27.751923,0.001730,46,204,113
-310.935974,27.122498,0.001740,46,204,113
-312.666901,26.550293,0.001750,46,204,113
-315.685272,26.092529,0.001760,46,204,113
-662.856079,-19.397736,0.001770,46,204,113
-661.368347,-19.226074,0.001780,46,204,113
-659.880615,-19.054413,0.001790,46,204,113
-658.392883,-18.882751,0.001800,46,204,113
-656.905151,-18.711090,0.001810,46,204,113
-655.417419,-18.539429,0.001820,46,204,113
-653.929688,-18.367767,0.001830,46,204,113
-652.441956,-18.196106,0.001840,46,204,113
-650.954224,-18.024445,0.001850,46,204,113
-649.466492,-17.852783,0.001860,46,204,113
-647.978760,-17.681122,0.001870,46,204,113
-646.491028,-17.509460,0.001880,46,204,113
-645.003296,-17.337799,0.001890,46,204,113
-643.515564,-17.166138,0.001900,46,204,113
-642.027832,-16.994476,0.001910,46,204,113
-640.540100,-16.822815,0.001920,46,204,113
-639.052368,-16.651154,0.001930,46,204,113
-636.777893,-15.964508,0.001940,46,204,113
-635.290161,-15.792847,0.001950,46,204,113
-633.802429,-15.621185,0.001960,46,204,113
-632.314697,-15.449524,0.001970,46,204,113
-630.826965,-15.277863,0.001980,46,204,113
-629.339233,-15.106201,0.001990,46,204,113
-627.851501,-14.934540,0.002000,46,204,113
-625.805847,-14.533997,0.002010,46,204,113
-623.145081,-14.190674,0.002020,46,204,113
-621.671692,-13.904572,0.002030,46,204,113
-620.198242,-13.618469,0.002040,46,204,113
-618.724854,-13.332367,0.002050,46,204,113
-617.251404,-13.046265,0.002060,46,204,113
-615.706421,-12.645721,0.002070,46,204,113
-614.218689,-12.474060,0.002080,46,204,113
-612.730957,-12.302399,0.002090,46,204,113
-611.243225,-12.130737,0.002100,46,204,113
-609.755493,-11.959076,0.002110,46,204,113
-607.595459,-11.558533,0.002120,46,204,113
-606.122009,-11.272430,0.002130,46,204,113
-604.648560,-10.986328,0.002140,46,204,113
-603.175171,-10.700226,0.002150,46,204,113
-601.701721,-10.414124,0.002160,46,204,113
-599.241272,-9.784698,0.002170,46,204,113
-597.825073,-9.269714,0.002180,46,204,113
-595.164307,-8.354187,0.002190,46,204,113
-593.690857,-8.125305,0.002200,46,204,113
-592.217468,-7.896423,0.002210,46,204,113
-590.744019,-7.667542,0.002220,46,204,113
-589.270569,-7.438660,0.002230,46,204,113
-587.797180,-7.209778,0.002240,46,204,113
-586.323730,-6.980896,0.002250,46,204,113
-584.850342,-6.752014,0.002260,46,204,113
-583.376892,-6.523132,0.002270,46,204,113
-581.903442,-6.122589,0.002280,46,204,113
-580.415710,-5.893707,0.002290,46,204,113
-578.927979,-5.664825,0.002300,46,204,113
-577.440247,-5.435944,0.002310,46,204,113
-575.952515,-5.207062,0.002320,46,204,113
-574.464783,-4.978180,0.002330,46,204,113
-572.862610,-4.692078,0.002340,46,204,113
-571.389221,-4.463196,0.002350,46,204,113
-569.915771,-4.234314,0.002360,46,204,113
-568.442322,-4.005432,0.002370,46,204,113
-565.924622,-3.547668,0.002380,46,204,113
-564.436890,-3.433228,0.002390,46,204,113
-562.949158,-3.318787,0.002400,46,204,113
-560.159668,-3.032684,0.002410,46,204,113
-558.686279,-2.803802,0.002420,46,204,113
-557.212830,-2.574921,0.002430,46,204,113
-555.739380,-2.346039,0.002440,46,204,113
-554.137207,-2.002716,0.002450,46,204,113
-552.678101,-1.659393,0.002460,46,204,113
-550.103210,-1.087189,0.002470,46,204,113
-548.629761,-0.801086,0.002480,46,204,113
-546.112061,-0.286102,0.002490,46,204,113
-544.624329,-0.114441,0.002500,46,204,113
-543.093689,0.057220,0.002510,46,204,113
-541.620239,0.343323,0.002520,46,204,113
-540.146851,0.629425,0.002530,46,204,113
-537.328735,1.258850,0.002540,46,204,113
-533.094421,1.945496,0.002550,46,204,113
-810.098633,-36.163330,0.002560,46,204,113
-811.600708,-36.163330,0.002570,46,204,113
-814.576172,-36.220551,0.002580,46,204,113
-816.063904,-36.106110,0.002590,46,204,113
-817.551636,-35.991669,0.002600,46,204,113
-819.239624,-35.820007,0.002610,46,204,113
-820.741638,-35.820007,0.002620,46,204,113
-822.243713,-35.820007,0.002630,46,204,113
-824.060425,-35.877228,0.002640,46,204,113
-825.562500,-35.877228,0.002650,46,204,113
-828.452087,-35.877228,0.002660,46,204,113
-829.954163,-35.934448,0.002670,46,204,113
-831.670776,-36.048889,0.002680,46,204,113
-833.158508,-36.220551,0.002690,46,204,113
-834.717773,-36.392212,0.002700,46,204,113
-836.205505,-36.621094,0.002710,46,204,113
-838.708862,-36.964417,0.002720,46,204,113
-840.196594,-37.193298,0.002730,46,204,113
-841.684326,-37.422180,0.002740,46,204,113
-843.658447,-37.651062,0.002750,46,204,113
-845.146179,-37.822723,0.002760,46,204,113
-846.633911,-37.994385,0.002770,46,204,113
-848.121643,-38.166046,0.002780,46,204,113
-850.481995,-38.394928,0.002790,46,204,113
-851.969727,-38.566589,0.002800,46,204,113
-853.457458,-38.738251,0.002810,46,204,113
-855.889343,-39.081573,0.002820,46,204,113
-857.377075,-39.253235,0.002830,46,204,113
-858.864807,-39.424896,0.002840,46,204,113
-860.352539,-39.596558,0.002850,46,204,113
-862.755798,-39.882660,0.002860,46,204,113
-864.257812,-39.939880,0.002870,46,204,113
-865.759827,-39.997101,0.002880,46,204,113
-867.991455,-40.054321,0.002890,46,204,113
-869.493469,-40.054321,0.002900,46,204,113
-870.995544,-40.054321,0.002910,46,204,113
-873.584717,-40.111542,0.002920,46,204,113
-875.086792,-40.054321,0.002930,46,204,113
-877.490051,-39.939880,0.002940,46,204,113
-878.992065,-39.882660,0.002950,46,204,113
-880.494141,-39.825439,0.002960,46,204,113
-881.996155,-39.768219,0.002970,46,204,113
-883.498169,-39.710999,0.002980,46,204,113
-886.387817,-39.653778,0.002990,46,204,113
-887.889893,-39.596558,0.003000,46,204,113
-889.391907,-39.539337,0.003010,46,204,113
-890.893921,-39.482117,0.003020,46,204,113
-893.211365,-39.482117,0.003030,46,204,113
-894.713379,-39.482117,0.003040,46,204,113
-896.215454,-39.482117,0.003050,46,204,113
