X,Y,Z,R,G,B
29.726028,8.754730,0.000010,255,0,0
29.182434,9.098053,0.000020,255,0,0
28.924942,9.269714,0.000030,255,0,0
28.653145,9.326935,0.000040,255,0,0
28.653145,9.326935,0.000050,255,0,0
28.653145,9.326935,0.000060,255,0,0
28.252602,9.670258,0.000070,255,0,0
27.980804,9.727478,0.000080,255,0,0
27.709007,9.899139,0.000090,255,0,0
27.308464,10.185242,0.000100,255,0,0
27.308464,10.185242,0.000110,255,0,0
27.036667,10.299683,0.000120,255,0,0
26.750565,10.414124,0.000130,255,0,0
26.235580,10.700226,0.000140,255,0,0
25.963783,10.814667,0.000150,255,0,0
25.835037,10.871887,0.000160,255,0,0
25.277138,11.100769,0.000170,255,0,0
25.005341,11.272430,0.000180,255,0,0
25.005341,11.272430,0.000190,255,0,0
24.876595,11.444092,0.000200,255,0,0
24.333000,11.730194,0.000210,255,0,0
24.333000,11.730194,0.000220,255,0,0
24.204254,11.901855,0.000230,255,0,0
24.204254,11.901855,0.000240,255,0,0
23.932457,12.073517,0.000250,255,0,0
23.932457,12.073517,0.000260,255,0,0
23.531914,12.416840,0.000270,255,0,0
23.260117,12.474060,0.000280,255,0,0
22.988319,12.645721,0.000290,255,0,0
22.587776,12.931824,0.000300,255,0,0
22.301674,13.046265,0.000310,255,0,0
22.058487,13.160706,0.000320,255,0,0
21.786690,13.389587,0.000330,255,0,0
21.500587,13.561249,0.000340,255,0,0
21.386147,13.732910,0.000350,255,0,0
21.386147,13.732910,0.000360,255,0,0
20.828247,13.961792,0.000370,255,0,0
20.828247,13.961792,0.000380,255,0,0
20.556450,14.019012,0.000390,255,0,0
20.556450,14.019012,0.000400,255,0,0
20.427704,14.190674,0.000410,255,0,0
19.884109,14.362335,0.000420,255,0,0
19.626617,14.476776,0.000430,255,0,0
19.483566,14.591217,0.000440,255,0,0
18.954277,14.820099,0.000450,255,0,0
18.682480,14.991760,0.000460,255,0,0
18.553734,15.048981,0.000470,255,0,0
18.010139,15.392303,0.000480,255,0,0
18.010139,15.392303,0.000490,255,0,0
