X,Y,Z,R,G,B
-187.182434,26.435852,0.000010,0,0,255
-830.941223,-80.566406,0.000020,0,0,255
-1562.204346,-124.053955,0.000030,0,0,255
-1955.194458,-215.435028,0.000040,0,0,255
-3153.863037,-326.328278,0.000050,0,0,255
-3853.340088,-75.244904,0.000060,0,0,255
-3247.289551,108.718872,0.000070,0,0,255
-3170.428223,128.288269,0.000080,0,0,255
-2943.234375,219.612122,0.000090,0,0,255
-1722.621948,1201.515137,0.000100,0,0,255
-2743.978516,281.925201,0.000110,0,0,255
-1818.823853,1400.184570,0.000120,0,0,255
-1933.836914,859.222412,0.000130,0,0,255
-2045.702881,665.016174,0.000140,0,0,255
-2495.656006,379.772186,0.000150,0,0,255
-2351.045654,439.453125,0.000160,0,0,255
-2914.066406,-304.183960,0.000170,0,0,255
-2014.031372,-198.383331,0.000180,0,0,255
-2027.492554,727.386475,0.000190,0,0,255
-1747.527100,1263.256104,0.000200,0,0,255
-1752.648315,1336.669922,0.000210,0,0,255
