X,Y,Z,R,G,B
-4507.570312,-170.345306,0.000010,255,255,0
-3749.885498,554.695129,0.000020,255,255,0
-2248.906982,753.479004,0.000030,255,255,0
-2005.577148,-304.069519,0.000040,255,255,0
-4468.631836,267.219543,0.000050,255,255,0
-4834.513672,-289.707184,0.000060,255,255,0
-4544.577637,-9.212494,0.000070,255,255,0
-3372.073242,-584.850342,0.000080,255,255,0
-3982.844238,-531.463623,0.000090,255,255,0
-952.262878,-180.416107,0.000100,255,255,0
-1325.111328,-226.020813,0.000110,255,255,0
-4550.185059,519.619019,0.000120,255,255,0
-4490.318359,635.204346,0.000130,255,255,0
-2611.441650,-408.096313,0.000140,255,255,0
-3131.990479,-414.390564,0.000150,255,255,0
-2042.899170,-662.727356,0.000160,255,255,0
-1038.293823,-580.959351,0.000170,255,255,0
-702.023499,-542.049438,0.000180,255,255,0
-1601.171509,-475.616455,0.000190,255,255,0
-1779.513306,-597.438843,0.000200,255,255,0
-5222.597168,54.016113,0.000210,255,255,0
-4134.878906,-74.329376,0.000220,255,255,0
-4927.196289,15.792847,0.000230,255,255,0
-4708.371094,-523.109436,0.000240,255,255,0
-4963.789062,65.460205,0.000250,255,255,0
-4324.436035,-472.297668,0.000260,255,255,0
-1364.207275,-109.291077,0.000270,255,255,0
-1152.949341,-282.840729,0.000280,255,255,0
-684.928894,-446.777344,0.000290,255,255,0
-591.874146,-35.190582,0.000300,255,255,0
-559.673340,-96.530914,0.000310,255,255,0
-977.411255,-267.047882,0.000320,255,255,0
-1533.465332,-244.045258,0.000330,255,255,0
-1717.729614,-660.324097,0.000340,255,255,0
-2784.590820,-542.392700,0.000350,255,255,0
-3011.169434,856.475830,0.000360,255,255,0
-2082.467041,933.494568,0.000370,255,255,0
-4313.835938,773.105591,0.000380,255,255,0
-2325.439453,484.714508,0.000390,255,255,0
-3352.403564,339.431763,0.000400,255,255,0
-2700.519531,571.060181,0.000410,255,255,0
-2552.433105,675.373047,0.000420,255,255,0
-4638.233398,380.344391,0.000430,255,255,0
-3090.276611,454.845428,0.000440,255,255,0
-3272.523926,650.882690,0.000450,255,255,0
-3131.732910,-489.177704,0.000460,255,255,0
-3918.027832,749.530762,0.000470,255,255,0
-4104.309082,650.424927,0.000480,255,255,0
-3474.569336,288.219452,0.000490,255,255,0
-3627.762695,876.388550,0.000500,255,255,0
-3615.188477,726.757080,0.000510,255,255,0
-4396.276367,633.945435,0.000520,255,255,0
-4240.450684,456.104279,0.000530,255,255,0
-4456.672852,435.276031,0.000540,255,255,0
-3561.487305,809.497803,0.000550,255,255,0
-3900.890381,416.679382,0.000560,255,255,0
-3701.033691,485.858917,0.000570,255,255,0
-4044.699707,636.920898,0.000580,255,255,0
-4089.059814,232.543945,0.000590,255,255,0
-4184.332031,221.042633,0.000600,255,255,0
-4416.045898,163.593292,0.000610,255,255,0
-3472.723877,753.479004,0.000620,255,255,0
-4391.041016,872.612000,0.000630,255,255,0
-2560.629883,501.079559,0.000640,255,255,0
-2733.392822,614.776611,0.000650,255,255,0
-2517.270996,594.005615,0.000660,255,255,0
-2500.205078,775.222778,0.000670,255,255,0
-4046.645264,611.572266,0.000680,255,255,0
-2830.896484,870.952637,0.000690,255,255,0
-3104.982422,814.189941,0.000700,255,255,0
-3403.186768,649.509399,0.000710,255,255,0
-4466.099609,-624.504089,0.000720,255,255,0
-3840.236572,340.003967,0.000730,255,255,0
-4381.398926,411.472321,0.000740,255,255,0
