X,Y,Z,R,G,B
-4610.109375,-153.007507,0.000010,255,0,255
-4613.556641,-148.944855,0.000020,255,0,255
-4613.556641,-148.944855,0.000030,255,0,255
-4614.543945,-147.800446,0.000040,255,0,255
-4615.530762,-146.656036,0.000050,255,0,255
-4616.518066,-145.511627,0.000060,255,0,255
-4617.876953,-143.966675,0.000070,255,0,255
-4618.892578,-142.879486,0.000080,255,0,255
-4619.908203,-141.792297,0.000090,255,0,255
-4620.923828,-140.705109,0.000100,255,0,255
-4621.939453,-139.617920,0.000110,255,0,255
-4622.955078,-138.530731,0.000120,255,0,255
-4623.971191,-137.443542,0.000130,255,0,255
-4624.986816,-136.356354,0.000140,255,0,255
-4626.002441,-135.269165,0.000150,255,0,255
-4627.018066,-134.181976,0.000160,255,0,255
-4628.033691,-133.094788,0.000170,255,0,255
-4629.049316,-132.007599,0.000180,255,0,255
-4630.537109,-130.348206,0.000190,255,0,255
-4631.652832,-129.318237,0.000200,255,0,255
-4632.768555,-128.288269,0.000210,255,0,255
-4633.884277,-127.258301,0.000220,255,0,255
-4635.000000,-126.228333,0.000230,255,0,255
-4636.159180,-125.255585,0.000240,255,0,255
-4637.303223,-124.282837,0.000250,255,0,255
-4638.447754,-123.310089,0.000260,255,0,255
-4639.863770,-122.108459,0.000270,255,0,255
-4641.265625,-120.906830,0.000280,255,0,255
-4642.496094,-120.048523,0.000290,255,0,255
-4643.726562,-119.190216,0.000300,255,0,255
-4644.956543,-118.331909,0.000310,255,0,255
-4646.187012,-117.473602,0.000320,255,0,255
-4647.416992,-116.615295,0.000330,255,0,255
-4648.647461,-115.756989,0.000340,255,0,255
-4649.877441,-114.898682,0.000350,255,0,255
-4651.208008,-114.040375,0.000360,255,0,255
-4658.060059,-109.806061,0.000370,255,0,255
-4658.060059,-109.806061,0.000380,255,0,255
-4658.889648,-109.348297,0.000390,255,0,255
-4662.222656,-107.574463,0.000400,255,0,255
-4662.222656,-107.574463,0.000410,255,0,255
-4663.582031,-106.945038,0.000420,255,0,255
-4664.940918,-106.315613,0.000430,255,0,255
-4666.299805,-105.686188,0.000440,255,0,255
-4667.658691,-105.056763,0.000450,255,0,255
-4669.017578,-104.427338,0.000460,255,0,255
-4670.376953,-103.797913,0.000470,255,0,255
-4671.907227,-102.996826,0.000480,255,0,255
-4673.266602,-102.367401,0.000490,255,0,255
-4674.625488,-101.737976,0.000500,255,0,255
-4675.984375,-101.108551,0.000510,255,0,255
-4677.343262,-100.479126,0.000520,255,0,255
-4678.702148,-99.849701,0.000530,255,0,255
-4680.061523,-99.220276,0.000540,255,0,255
-4681.806641,-98.419189,0.000550,255,0,255
-4683.179688,-97.789764,0.000560,255,0,255
-4684.553223,-97.160339,0.000570,255,0,255
-4685.926270,-96.530914,0.000580,255,0,255
-4687.299805,-95.901489,0.000590,255,0,255
-4688.672852,-95.272064,0.000600,255,0,255
-4690.046387,-94.642639,0.000610,255,0,255
-4691.419434,-94.013214,0.000620,255,0,255
-4692.792969,-93.383789,0.000630,255,0,255
-4694.166016,-92.754364,0.000640,255,0,255
-4695.539551,-92.124939,0.000650,255,0,255
-4696.912598,-91.495514,0.000660,255,0,255
-4698.286133,-90.866089,0.000670,255,0,255
-4699.659180,-90.236664,0.000680,255,0,255
-4701.032715,-89.607239,0.000690,255,0,255
-4703.550293,-88.748932,0.000700,255,0,255
