X,Y,Z,R,G,B
1672.030151,-832.831238,0.000100,181,129,132
1677.754517,-833.429443,0.000200,181,129,132
1539.195312,-879.126465,0.000300,181,129,132
1539.581299,-879.218506,0.000400,181,129,132
1529.515381,-868.910278,0.000500,181,129,132
1529.841675,-869.186340,0.000600,181,129,132
1530.466431,-869.715576,0.000700,181,129,132
1530.873657,-870.589966,0.000800,181,129,132
1530.733276,-871.142151,0.000900,181,129,132
1530.592773,-871.694397,0.001000,181,129,132
1530.452393,-872.246643,0.001100,181,129,132
1530.273438,-872.959900,0.001200,181,129,132
1530.248779,-873.742249,0.001300,181,129,132
1530.547119,-874.087402,0.001400,181,129,132
1530.845459,-874.432495,0.001500,181,129,132
1531.143799,-874.800720,0.001600,181,129,132
1531.498413,-874.961792,0.001700,181,129,132
1531.852783,-875.122803,0.001800,181,129,132
1532.207275,-875.283875,0.001900,181,129,132
1532.660034,-875.536987,0.002000,181,129,132
1533.011108,-875.721069,0.002100,181,129,132
1533.362061,-875.905151,0.002200,181,129,132
1533.713013,-876.089172,0.002300,181,129,132
1534.172729,-876.319336,0.002400,181,129,132
1534.530884,-876.457336,0.002500,181,129,132
1535.187134,-876.687500,0.002600,181,129,132
1535.527588,-876.917542,0.002700,181,129,132
1536.008423,-877.239685,0.002800,181,129,132
1536.359375,-877.400757,0.002900,181,129,132
1536.710327,-877.561768,0.003000,181,129,132
1537.138550,-877.791931,0.003100,181,129,132
1537.464966,-878.068054,0.003200,181,129,132
1537.910767,-878.459229,0.003300,181,129,132
1538.665405,-878.919434,0.003400,181,129,132
1539.581299,-879.218506,0.003500,181,129,132
1539.904297,-878.919434,0.003600,181,129,132
1540.227173,-878.620300,0.003700,181,129,132
1540.743164,-878.183044,0.003800,181,129,132
1541.104614,-878.068054,0.003900,181,129,132
1541.466064,-877.953003,0.004000,181,129,132
1541.827637,-877.837952,0.004100,181,129,132
1542.189087,-877.722900,0.004200,181,129,132
1542.550659,-877.607849,0.004300,181,129,132
1543.027954,-877.469788,0.004400,181,129,132
1543.389526,-877.354797,0.004500,181,129,132
1543.750977,-877.239685,0.004600,181,129,132
1544.112549,-877.124634,0.004700,181,129,132
1544.473999,-877.009583,0.004800,181,129,132
1545.007446,-876.779480,0.004900,181,129,132
1545.376099,-876.802490,0.005000,181,129,132
1545.744507,-876.825500,0.005100,181,129,132
