X,Y,Z,R,G,B
1628.729858,-573.168274,0.000100,255,0,255
1628.378906,-572.984192,0.000200,255,0,255
1628.027954,-572.800110,0.000300,255,0,255
1627.676880,-572.616089,0.000400,255,0,255
1627.326050,-572.431946,0.000500,255,0,255
1626.975098,-572.247925,0.000600,255,0,255
1626.624023,-572.063843,0.000700,255,0,255
1626.273071,-571.879761,0.000800,255,0,255
1625.922119,-571.695679,0.000900,255,0,255
1625.571045,-571.511597,0.001000,255,0,255
1625.220093,-571.327515,0.001100,255,0,255
1624.869141,-571.143494,0.001200,255,0,255
1624.518066,-570.959351,0.001300,255,0,255
1624.167114,-570.775269,0.001400,255,0,255
1623.816284,-570.591187,0.001500,255,0,255
1623.465332,-570.407104,0.001600,255,0,255
1623.114258,-570.223083,0.001700,255,0,255
1622.763306,-570.038940,0.001800,255,0,255
1622.412354,-569.854919,0.001900,255,0,255
1622.061279,-569.670837,0.002000,255,0,255
1621.710327,-569.486755,0.002100,255,0,255
1621.359375,-569.302673,0.002200,255,0,255
1621.008301,-569.118591,0.002300,255,0,255
1620.657471,-568.934509,0.002400,255,0,255
1620.306519,-568.750488,0.002500,255,0,255
1619.955444,-568.566345,0.002600,255,0,255
1619.604492,-568.382324,0.002700,255,0,255
1619.253540,-568.198242,0.002800,255,0,255
1618.593628,-567.830078,0.002900,255,0,255
1618.242676,-567.645935,0.003000,255,0,255
1617.891602,-567.461914,0.003100,255,0,255
1617.540649,-567.277832,0.003200,255,0,255
1617.189819,-567.093750,0.003300,255,0,255
1616.838745,-566.909668,0.003400,255,0,255
1616.371948,-566.633545,0.003500,255,0,255
1616.045532,-566.357483,0.003600,255,0,255
1615.719116,-566.081299,0.003700,255,0,255
1615.392700,-565.805237,0.003800,255,0,255
1614.982056,-565.460083,0.003900,255,0,255
1614.634644,-565.276001,0.004000,255,0,255
1613.943237,-564.884888,0.004100,255,0,255
1613.448242,-564.884888,0.004200,255,0,255
1613.100830,-564.677795,0.004300,255,0,255
1612.753418,-564.470703,0.004400,255,0,255
1612.405884,-564.263611,0.004500,255,0,255
1612.058472,-564.056519,0.004600,255,0,255
1611.605591,-563.849426,0.004700,255,0,255
1611.261719,-563.619324,0.004800,255,0,255
1610.917725,-563.389221,0.004900,255,0,255
1610.573853,-563.159119,0.005000,255,0,255
1610.229858,-562.929016,0.005100,255,0,255
1609.885864,-562.698975,0.005200,255,0,255
1609.541992,-562.468811,0.005300,255,0,255
1609.197876,-562.238770,0.005400,255,0,255
1608.854004,-562.008606,0.005500,255,0,255
1608.510010,-561.778564,0.005600,255,0,255
1608.166138,-561.548462,0.005700,255,0,255
1607.822144,-561.318359,0.005800,255,0,255
1607.478271,-561.088257,0.005900,255,0,255
1607.134155,-560.858154,0.006000,255,0,255
1606.751587,-560.720154,0.006100,255,0,255
1601.560669,-557.567810,0.006200,255,0,255
1531.666870,-519.026794,0.006300,255,0,255
1531.301758,-518.957764,0.006400,255,0,255
1530.936768,-518.888733,0.006500,255,0,255
1530.571777,-518.819702,0.006600,255,0,255
1530.206665,-518.750671,0.006700,255,0,255
1529.841675,-518.681641,0.006800,255,0,255
1529.476685,-518.612610,0.006900,255,0,255
1529.111694,-518.543579,0.007000,255,0,255
1528.746582,-518.474548,0.007100,255,0,255
1528.272827,-518.474548,0.007200,255,0,255
1527.904297,-518.451538,0.007300,255,0,255
1527.535767,-518.428528,0.007400,255,0,255
1527.167236,-518.405518,0.007500,255,0,255
1526.798706,-518.382507,0.007600,255,0,255
1526.430298,-518.359497,0.007700,255,0,255
1526.061646,-518.336487,0.007800,255,0,255
1525.693115,-518.313477,0.007900,255,0,255
1525.324585,-518.290466,0.008000,255,0,255
1524.956177,-518.267456,0.008100,255,0,255
1524.587524,-518.244446,0.008200,255,0,255
1524.218994,-518.221436,0.008300,255,0,255
1523.850464,-518.198425,0.008400,255,0,255
1523.482056,-518.175415,0.008500,255,0,255
1523.113403,-518.152405,0.008600,255,0,255
1522.744873,-518.129395,0.008700,255,0,255
1522.376465,-518.106384,0.008800,255,0,255
1522.007935,-518.083374,0.008900,255,0,255
1521.453369,-518.106384,0.009000,255,0,255
