X,Y,Z,R,G,B
1570.527222,-527.264160,0.000100,0,0,255
1570.393799,-527.126160,0.000200,0,0,255
1570.330566,-527.057129,0.000300,0,0,255
1570.263916,-527.034119,0.000400,0,0,255
1570.263916,-527.034119,0.000500,0,0,255
1570.263916,-527.034119,0.000600,0,0,255
1570.165649,-526.896057,0.000700,0,0,255
1570.098999,-526.873047,0.000800,0,0,255
1570.032227,-526.804016,0.000900,0,0,255
1569.934082,-526.688965,0.001000,0,0,255
1569.934082,-526.688965,0.001100,0,0,255
1569.867310,-526.642944,0.001200,0,0,255
1569.797119,-526.596924,0.001300,0,0,255
1569.670654,-526.481873,0.001400,0,0,255
1569.604126,-526.435852,0.001500,0,0,255
1569.572510,-526.412842,0.001600,0,0,255
1569.435669,-526.320801,0.001700,0,0,255
1569.368896,-526.251770,0.001800,0,0,255
1569.368896,-526.251770,0.001900,0,0,255
1569.337402,-526.182739,0.002000,0,0,255
1569.203857,-526.067688,0.002100,0,0,255
1569.203857,-526.067688,0.002200,0,0,255
1569.172363,-525.998657,0.002300,0,0,255
1569.172363,-525.998657,0.002400,0,0,255
1569.105713,-525.929626,0.002500,0,0,255
1569.105713,-525.929626,0.002600,0,0,255
1569.007446,-525.791565,0.002700,0,0,255
1568.940674,-525.768555,0.002800,0,0,255
1568.874023,-525.699524,0.002900,0,0,255
1568.775757,-525.584473,0.003000,0,0,255
1568.705566,-525.538452,0.003100,0,0,255
1568.645874,-525.492493,0.003200,0,0,255
1568.579224,-525.400452,0.003300,0,0,255
1568.509033,-525.331360,0.003400,0,0,255
1568.480957,-525.262390,0.003500,0,0,255
1568.480957,-525.262390,0.003600,0,0,255
1568.343994,-525.170349,0.003700,0,0,255
1568.343994,-525.170349,0.003800,0,0,255
1568.277344,-525.147339,0.003900,0,0,255
1568.277344,-525.147339,0.004000,0,0,255
1568.245850,-525.078308,0.004100,0,0,255
1568.112427,-525.009277,0.004200,0,0,255
1568.049194,-524.963257,0.004300,0,0,255
1568.014160,-524.917236,0.004400,0,0,255
1567.884277,-524.825195,0.004500,0,0,255
1567.817627,-524.756165,0.004600,0,0,255
1567.786011,-524.733154,0.004700,0,0,255
1567.652710,-524.595093,0.004800,0,0,255
1567.652710,-524.595093,0.004900,0,0,255
1567.585938,-524.572083,0.005000,0,0,255
1567.585938,-524.572083,0.005100,0,0,255
1567.554321,-524.503052,0.005200,0,0,255
1567.554321,-524.503052,0.005300,0,0,255
1567.554321,-524.503052,0.005400,0,0,255
1567.456055,-524.411011,0.005500,0,0,255
1567.389404,-524.388000,0.005600,0,0,255
1567.389404,-524.388000,0.005700,0,0,255
1567.319214,-524.318970,0.005800,0,0,255
1567.252441,-524.226929,0.005900,0,0,255
1567.252441,-524.226929,0.006000,0,0,255
1567.192871,-524.180908,0.006100,0,0,255
1567.192871,-524.180908,0.006200,0,0,255
1567.154297,-524.134888,0.006300,0,0,255
1567.154297,-524.134888,0.006400,0,0,255
1567.055908,-524.042847,0.006500,0,0,255
1566.989258,-523.973816,0.006600,0,0,255
1566.989258,-523.973816,0.006700,0,0,255
1566.957642,-523.927856,0.006800,0,0,255
1566.957642,-523.927856,0.006900,0,0,255
1566.824341,-523.858765,0.007000,0,0,255
1566.824341,-523.858765,0.007100,0,0,255
1566.792725,-523.789734,0.007200,0,0,255
1566.792725,-523.789734,0.007300,0,0,255
1566.726074,-523.743713,0.007400,0,0,255
1566.726074,-523.743713,0.007500,0,0,255
1566.627686,-523.651672,0.007600,0,0,255
1566.627686,-523.651672,0.007700,0,0,255
1566.561157,-523.605652,0.007800,0,0,255
1566.561157,-523.605652,0.007900,0,0,255
1566.529541,-523.559631,0.008000,0,0,255
1566.529541,-523.559631,0.008100,0,0,255
1566.396118,-523.467651,0.008200,0,0,255
1566.396118,-523.467651,0.008300,0,0,255
1566.325928,-523.398560,0.008400,0,0,255
1566.325928,-523.398560,0.008500,0,0,255
1566.297852,-523.375549,0.008600,0,0,255
1566.160889,-523.283569,0.008700,0,0,255
1566.160889,-523.283569,0.008800,0,0,255
1566.101318,-523.237549,0.008900,0,0,255
1566.101318,-523.237549,0.009000,0,0,255
1566.031128,-523.191467,0.009100,0,0,255
1566.031128,-523.191467,0.009200,0,0,255
1566.031128,-523.191467,0.009300,0,0,255
1565.897705,-523.053467,0.009400,0,0,255
1565.834595,-523.030457,0.009500,0,0,255
1565.767822,-522.961426,0.009600,0,0,255
1565.767822,-522.961426,0.009700,0,0,255
1565.767822,-522.961426,0.009800,0,0,255
1565.634521,-522.869385,0.009900,0,0,255
1565.634521,-522.869385,0.010000,0,0,255
1565.536133,-522.800354,0.010100,0,0,255
1565.469604,-522.731323,0.010200,0,0,255
1565.339722,-522.662292,0.010300,0,0,255
1565.272949,-522.616272,0.010400,0,0,255
1565.202881,-522.547241,0.010500,0,0,255
1565.076538,-522.455200,0.010600,0,0,255
1565.009766,-522.386169,0.010700,0,0,255
1565.009766,-522.386169,0.010800,0,0,255
1564.939575,-522.363159,0.010900,0,0,255
1564.939575,-522.363159,0.011000,0,0,255
1564.841309,-522.271118,0.011100,0,0,255
