X,Y,Z,R,G,B
1517.308228,-520.154236,0.000100,255,0,255
1359.360962,-563.182129,0.000200,255,0,255
1179.944214,-580.669373,0.000300,255,0,255
1083.523438,-617.415710,0.000400,255,0,255
789.427917,-662.008240,0.000500,255,0,255
617.809998,-561.042236,0.000600,255,0,255
766.505554,-487.066498,0.000700,255,0,255
785.363647,-479.197205,0.000800,255,0,255
841.106018,-442.473938,0.000900,255,0,255
1140.585449,-47.629799,0.001000,255,0,255
889.993774,-417.416534,0.001100,255,0,255
1116.982178,32.259411,0.001200,255,0,255
1088.763428,-185.273026,0.001300,255,0,255
1061.316895,-263.367493,0.001400,255,0,255
950.920227,-378.070160,0.001500,255,0,255
986.400635,-354.071198,0.001600,255,0,255
848.262451,-653.103516,0.001700,255,0,255
1069.087646,-610.558838,0.001800,255,0,255
1065.784912,-238.287064,0.001900,255,0,255
1134.474854,-22.802479,0.002000,255,0,255
1133.218506,6.718793,0.002100,255,0,255
