X,Y,Z,R,G,B
468.823059,-659.454163,0.000100,255,0,0
458.662262,-668.980103,0.000200,255,0,0
529.756470,-733.752014,0.000300,255,0,0
929.601746,-482.533600,0.000400,255,0,0
1392.103760,-335.364410,0.000500,255,0,0
467.061157,-596.292908,0.000600,255,0,0
414.603912,-595.671631,0.000700,255,0,0
400.477051,-571.258484,0.000800,255,0,0
388.480591,-656.278870,0.000900,255,0,0
425.256134,-645.786499,0.001000,255,0,0
451.505798,-639.734985,0.001100,255,0,0
461.368317,-630.600098,0.001200,255,0,0
282.562286,-513.849609,0.001300,255,0,0
362.943390,-538.722961,0.001400,255,0,0
467.352478,-630.370056,0.001500,255,0,0
331.379913,-644.313843,0.001600,255,0,0
359.454651,-649.652100,0.001700,255,0,0
1318.896606,-622.638855,0.001800,255,0,0
1425.130859,-718.082520,0.001900,255,0,0
1425.962524,-711.708923,0.002000,255,0,0
1424.221680,-709.315918,0.002100,255,0,0
446.953613,-604.438293,0.002200,255,0,0
443.868500,-596.707092,0.002300,255,0,0
482.539337,-562.376770,0.002400,255,0,0
450.354584,-419.786499,0.002500,255,0,0
450.112396,-545.763916,0.002600,255,0,0
468.528259,-730.806824,0.002700,255,0,0
472.332855,-717.829407,0.002800,255,0,0
470.883331,-722.661438,0.002900,255,0,0
476.172577,-725.008423,0.003000,255,0,0
477.144775,-712.238098,0.003100,255,0,0
481.230194,-727.861572,0.003200,255,0,0
484.445129,-756.692566,0.003300,255,0,0
497.424316,-762.652039,0.003400,255,0,0
501.593964,-760.236084,0.003500,255,0,0
502.759216,-756.278381,0.003600,255,0,0
513.102539,-522.616272,0.003700,255,0,0
821.300293,-335.847595,0.003800,255,0,0
449.926392,-767.046936,0.003900,255,0,0
452.000671,-742.541687,0.004000,255,0,0
438.996948,-763.388306,0.004100,255,0,0
456.521271,-705.174133,0.004200,255,0,0
456.738892,-721.764038,0.004300,255,0,0
482.181305,-721.142761,0.004400,255,0,0
424.596283,-745.187744,0.004500,255,0,0
470.437561,-692.910034,0.004600,255,0,0
417.636353,-753.908447,0.004700,255,0,0
482.114624,-674.088196,0.004800,255,0,0
450.105408,-576.734802,0.004900,255,0,0
450.084351,-525.492493,0.005000,255,0,0
463.733887,-596.500000,0.005100,255,0,0
449.533325,-603.678955,0.005200,255,0,0
473.754333,-506.785675,0.005300,255,0,0
473.175232,-501.056274,0.005400,255,0,0
470.932465,-514.309814,0.005500,255,0,0
499.775909,-519.924133,0.005600,255,0,0
505.595123,-546.201050,0.005700,255,0,0
502.839935,-523.605652,0.005800,255,0,0
522.691284,-550.089722,0.005900,255,0,0
490.176605,-562.606873,0.006000,255,0,0
489.179810,-559.684692,0.006100,255,0,0
449.470154,-593.715820,0.006200,255,0,0
512.800720,-525.952637,0.006300,255,0,0
513.804443,-534.972412,0.006400,255,0,0
523.747742,-535.915771,0.006500,255,0,0
455.363037,-628.690369,0.006600,255,0,0
451.418060,-621.672424,0.006700,255,0,0
469.310944,-591.207764,0.006800,255,0,0
425.873840,-603.794067,0.006900,255,0,0
423.813599,-568.244263,0.007000,255,0,0
487.881195,-742.242554,0.007100,255,0,0
486.786163,-735.431702,0.007200,255,0,0
490.506531,-699.099670,0.007300,255,0,0
493.030060,-700.434143,0.007400,255,0,0
488.477905,-702.390015,0.007500,255,0,0
467.401642,-665.022461,0.007600,255,0,0
462.775726,-662.514404,0.007700,255,0,0
469.412720,-676.872437,0.007800,255,0,0
457.493500,-615.413818,0.007900,255,0,0
457.805878,-614.378357,0.008000,255,0,0
453.741516,-594.268066,0.008100,255,0,0
456.219421,-614.815613,0.008200,255,0,0
493.633759,-695.924316,0.008300,255,0,0
458.005920,-643.140381,0.008400,255,0,0
458.757019,-640.080078,0.008500,255,0,0
373.297272,-527.080139,0.008600,255,0,0
363.357544,-524.526062,0.008700,255,0,0
357.296143,-518.842712,0.008800,255,0,0
482.669159,-676.113098,0.008900,255,0,0
458.613098,-637.963257,0.009000,255,0,0
439.842804,-607.406555,0.009100,255,0,0
507.858917,-714.331970,0.009200,255,0,0
725.879761,-771.303650,0.009300,255,0,0
730.607422,-768.427429,0.009400,255,0,0
747.054321,-754.897827,0.009500,255,0,0
706.881287,-767.668091,0.009600,255,0,0
559.536987,-748.915344,0.009700,255,0,0
474.105316,-735.316650,0.009800,255,0,0
473.596405,-736.375183,0.009900,255,0,0
473.291046,-737.318542,0.010000,255,0,0
474.628265,-738.123840,0.010100,255,0,0
475.614502,-736.421143,0.010200,255,0,0
475.491699,-737.364502,0.010300,255,0,0
475.818085,-735.109619,0.010400,255,0,0
1328.457275,-622.523804,0.010500,255,0,0
558.852600,-746.844482,0.010600,255,0,0
464.548157,-695.809265,0.010700,255,0,0
428.502686,-704.299805,0.010800,255,0,0
427.751556,-702.113892,0.010900,255,0,0
419.945801,-685.800110,0.011000,255,0,0
406.282227,-667.783569,0.011100,255,0,0
403.197113,-670.636780,0.011200,255,0,0
401.301849,-674.065247,0.011300,255,0,0
408.384583,-680.760986,0.011400,255,0,0
701.398987,-767.829224,0.011500,255,0,0
711.865173,-767.806213,0.011600,255,0,0
586.622009,-745.647949,0.011700,255,0,0
795.910522,-802.573669,0.011800,255,0,0
442.998077,-399.054901,0.011900,255,0,0
920.507874,-712.583191,0.012000,255,0,0
919.328613,-703.057312,0.012100,255,0,0
916.545349,-707.222046,0.012200,255,0,0
945.364197,-685.685059,0.012300,255,0,0
796.882751,-721.119812,0.012400,255,0,0
1356.861938,-601.884216,0.012500,255,0,0
457.497009,-614.194336,0.012600,255,0,0
652.539307,-306.234314,0.012700,255,0,0
1423.017822,-552.781799,0.012800,255,0,0
635.544922,-760.995422,0.012900,255,0,0
798.514771,-722.270264,0.013000,255,0,0
1330.591187,-577.286987,0.013100,255,0,0
457.819916,-610.765930,0.013200,255,0,0
1060.320190,-634.902954,0.013300,255,0,0
1072.951904,-661.432983,0.013400,255,0,0
409.181305,-504.001526,0.013500,255,0,0
1318.370117,-600.986877,0.013600,255,0,0
498.487823,-524.203918,0.013700,255,0,0
494.325195,-524.480042,0.013800,255,0,0
489.994141,-524.503052,0.013900,255,0,0
468.658142,-562.675903,0.014000,255,0,0
391.558655,-730.714783,0.014100,255,0,0
403.133942,-541.852295,0.014200,255,0,0
410.357056,-752.780945,0.014300,255,0,0
449.403442,-577.908264,0.014400,255,0,0
423.441559,-495.441956,0.014500,255,0,0
428.593903,-729.702393,0.014600,255,0,0
