X,Y,Z,R,G,B
574.846680,-719.255981,0.000100,0,0,0
573.804260,-719.946350,0.000200,0,0,0
573.660400,-720.061340,0.000300,0,0,0
573.383118,-720.268433,0.000400,0,0,0
573.348022,-720.337463,0.000500,0,0,0
573.193604,-720.429504,0.000600,0,0,0
573.028625,-720.613586,0.000700,0,0,0
572.656555,-721.004761,0.000800,0,0,0
572.554810,-721.165833,0.000900,0,0,0
572.512695,-721.234802,0.001000,0,0,0
572.481079,-721.257874,0.001100,0,0,0
572.330200,-721.418945,0.001200,0,0,0
572.207336,-721.580017,0.001300,0,0,0
572.179260,-721.648987,0.001400,0,0,0
571.958130,-721.764038,0.001500,0,0,0
571.916016,-721.810059,0.001600,0,0,0
571.684326,-721.971130,0.001700,0,0,0
571.442200,-722.201233,0.001800,0,0,0
571.396606,-722.247253,0.001900,0,0,0
571.231628,-722.408325,0.002000,0,0,0
570.975403,-722.569397,0.002100,0,0,0
570.750732,-722.707397,0.002200,0,0,0
570.501526,-722.868530,0.002300,0,0,0
570.455933,-722.891541,0.002400,0,0,0
570.192749,-723.075623,0.002500,0,0,0
570.010193,-723.236694,0.002600,0,0,0
569.897888,-723.397766,0.002700,0,0,0
569.904907,-723.420715,0.002800,0,0,0
569.880371,-723.466736,0.002900,0,0,0
569.732910,-723.581787,0.003000,0,0,0
569.729431,-723.627808,0.003100,0,0,0
569.620605,-723.696838,0.003200,0,0,0
569.409973,-723.903931,0.003300,0,0,0
569.216980,-724.041992,0.003400,0,0,0
569.020447,-724.203064,0.003500,0,0,0
568.915161,-724.387146,0.003600,0,0,0
568.708069,-724.617249,0.003700,0,0,0
568.578186,-724.686218,0.003800,0,0,0
568.567627,-724.778320,0.003900,0,0,0
568.304443,-725.077454,0.004000,0,0,0
568.297424,-725.100403,0.004100,0,0,0
568.157043,-725.192505,0.004200,0,0,0
568.062256,-725.307495,0.004300,0,0,0
568.079773,-725.307495,0.004400,0,0,0
567.974487,-725.422607,0.004500,0,0,0
567.879761,-725.445618,0.004600,0,0,0
567.518250,-725.652710,0.004700,0,0,0
567.384827,-725.790771,0.004800,0,0,0
567.346313,-725.813721,0.004900,0,0,0
567.174255,-726.020813,0.005000,0,0,0
567.051453,-726.158936,0.005100,0,0,0
566.837341,-726.342957,0.005200,0,0,0
566.619751,-726.573059,0.005300,0,0,0
566.370544,-726.757141,0.005400,0,0,0
566.163452,-726.941223,0.005500,0,0,0
565.914307,-727.309387,0.005600,0,0,0
565.773865,-727.562500,0.005700,0,0,0
565.654541,-727.769592,0.005800,0,0,0
565.500122,-727.930664,0.005900,0,0,0
565.352722,-728.206726,0.006000,0,0,0
565.191223,-728.413818,0.006100,0,0,0
565.124573,-728.482849,0.006200,0,0,0
564.998230,-728.643921,0.006300,0,0,0
564.966675,-728.689941,0.006400,0,0,0
564.934998,-728.758911,0.006500,0,0,0
564.854309,-728.989075,0.006600,0,0,0
564.661255,-729.173096,0.006700,0,0,0
564.412109,-729.380188,0.006800,0,0,0
564.205017,-729.633301,0.006900,0,0,0
564.033081,-729.886414,0.007000,0,0,0
563.850525,-730.116577,0.007100,0,0,0
563.703125,-730.346619,0.007200,0,0,0
563.510071,-730.576721,0.007300,0,0,0
563.334534,-730.783813,0.007400,0,0,0
563.236328,-730.967896,0.007500,0,0,0
563.039734,-731.174988,0.007600,0,0,0
562.765991,-731.451050,0.007700,0,0,0
562.541382,-731.750244,0.007800,0,0,0
562.355347,-731.980286,0.007900,0,0,0
