X,Y,Z,R,G,B
457.293427,-599.284119,0.000100,0,255,0
643.192749,-307.729919,0.000200,0,255,0
1011.460449,-227.794708,0.000300,0,255,0
1071.161987,-653.057495,0.000400,0,255,0
466.847076,-423.329987,0.000500,0,255,0
377.077301,-647.282043,0.000600,0,255,0
448.213623,-534.489197,0.000700,0,255,0
735.889648,-765.965454,0.000800,0,255,0
586.035889,-744.497498,0.000900,0,255,0
1329.594360,-603.333862,0.001000,0,255,0
1238.115356,-621.672424,0.001100,0,255,0
446.837799,-321.834808,0.001200,0,255,0
461.526245,-275.355469,0.001300,0,255,0
922.511963,-694.888855,0.001400,0,255,0
794.794434,-697.419983,0.001500,0,255,0
1062.004883,-797.281433,0.001600,0,255,0
1308.486572,-764.400818,0.001700,0,255,0
1390.991089,-748.754272,0.001800,0,255,0
1170.383545,-722.040222,0.001900,0,255,0
1126.626953,-771.027527,0.002000,0,255,0
281.860352,-509.063660,0.002100,0,255,0
548.733887,-560.674072,0.002200,0,255,0
354.337402,-524.434021,0.002300,0,255,0
408.026581,-741.138123,0.002400,0,255,0
345.359375,-504.461731,0.002500,0,255,0
502.225677,-720.705627,0.002600,0,255,0
1228.523193,-574.732910,0.002700,0,255,0
1280.355591,-644.520935,0.002800,0,255,0
1395.185303,-710.443359,0.002900,0,255,0
1418.016479,-544.935547,0.003000,0,255,0
1425.916992,-569.601807,0.003100,0,255,0
1323.424194,-638.170349,0.003200,0,255,0
1186.995361,-628.920471,0.003300,0,255,0
1141.785889,-796.315063,0.003400,0,255,0
880.029541,-748.892395,0.003500,0,255,0
824.438049,-186.377487,0.003600,0,255,0
1052.296875,-155.406601,0.003700,0,255,0
504.826477,-219.902420,0.003800,0,255,0
992.683044,-335.870636,0.003900,0,255,0
740.715637,-394.291931,0.004000,0,255,0
900.656555,-301.149200,0.004100,0,255,0
936.989807,-259.202759,0.004200,0,255,0
425.235077,-377.840088,0.004300,0,255,0
805.028931,-347.881622,0.004400,0,255,0
760.314270,-269.050842,0.004500,0,255,0
794.857605,-727.493408,0.004600,0,255,0
601.938660,-229.382370,0.004700,0,255,0
556.234314,-269.234924,0.004800,0,255,0
710.742065,-414.885468,0.004900,0,255,0
673.155762,-178.370163,0.005000,0,255,0
676.240906,-238.540161,0.005100,0,255,0
484.599548,-275.861664,0.005200,0,255,0
522.831604,-347.375397,0.005300,0,255,0
469.781250,-355.750916,0.005400,0,255,0
689.416565,-205.268326,0.005500,0,255,0
606.143433,-363.229004,0.005600,0,255,0
655.178650,-335.410461,0.005700,0,255,0
570.859558,-274.665192,0.005800,0,255,0
559.975708,-437.273804,0.005900,0,255,0
536.600525,-441.898712,0.006000,0,255,0
479.749023,-465.000305,0.006100,0,255,0
711.194824,-227.794708,0.006200,0,255,0
485.884155,-179.888779,0.006300,0,255,0
934.978760,-329.289886,0.006400,0,255,0
892.591064,-283.569885,0.006500,0,255,0
945.616882,-291.922363,0.006600,0,255,0
949.804077,-219.051056,0.006700,0,255,0
570.382202,-284.858429,0.006800,0,255,0
868.668335,-180.556061,0.006900,0,255,0
801.420898,-203.381561,0.007000,0,255,0
728.255859,-269.603088,0.007100,0,255,0
467.468323,-781.911072,0.007200,0,255,0
621.024902,-394.061829,0.007300,0,255,0
488.249756,-365.322876,0.007400,0,255,0
