X,Y,Z,R,G,B
432.135284,-592.312195,0.000100,0,0,255
431.289429,-590.678589,0.000200,0,0,255
431.289429,-590.678589,0.000300,0,0,255
431.047272,-590.218384,0.000400,0,0,255
430.805084,-589.758179,0.000500,0,0,255
430.562927,-589.298035,0.000600,0,0,255
430.229462,-588.676758,0.000700,0,0,255
429.980286,-588.239502,0.000800,0,0,255
429.731079,-587.802368,0.000900,0,0,255
429.481873,-587.365234,0.001000,0,0,255
429.232697,-586.927979,0.001100,0,0,255
428.983490,-586.490845,0.001200,0,0,255
428.734314,-586.053589,0.001300,0,0,255
428.485107,-585.616455,0.001400,0,0,255
428.235901,-585.179321,0.001500,0,0,255
427.986725,-584.742065,0.001600,0,0,255
427.737518,-584.304932,0.001700,0,0,255
427.488342,-583.867676,0.001800,0,0,255
427.123322,-583.200500,0.001900,0,0,255
426.849548,-582.786316,0.002000,0,0,255
426.575806,-582.372131,0.002100,0,0,255
426.302032,-581.957947,0.002200,0,0,255
426.028259,-581.543762,0.002300,0,0,255
425.743988,-581.152588,0.002400,0,0,255
425.463196,-580.761475,0.002500,0,0,255
425.182404,-580.370239,0.002600,0,0,255
424.834961,-579.887085,0.002700,0,0,255
424.490967,-579.403870,0.002800,0,0,255
424.189148,-579.058716,0.002900,0,0,255
423.887299,-578.713623,0.003000,0,0,255
423.585449,-578.368469,0.003100,0,0,255
423.283630,-578.023254,0.003200,0,0,255
422.981781,-577.678162,0.003300,0,0,255
422.679962,-577.333008,0.003400,0,0,255
422.378082,-576.987915,0.003500,0,0,255
422.051697,-576.642700,0.003600,0,0,255
420.370514,-574.940002,0.003700,0,0,255
420.370514,-574.940002,0.003800,0,0,255
420.166931,-574.755981,0.003900,0,0,255
419.349152,-574.042664,0.004000,0,0,255
419.349152,-574.042664,0.004100,0,0,255
419.015717,-573.789551,0.004200,0,0,255
418.682312,-573.536438,0.004300,0,0,255
418.348846,-573.283386,0.004400,0,0,255
418.015411,-573.030273,0.004500,0,0,255
417.682007,-572.777161,0.004600,0,0,255
417.348572,-572.523987,0.004700,0,0,255
416.973022,-572.201904,0.004800,0,0,255
416.639587,-571.948792,0.004900,0,0,255
416.306152,-571.695679,0.005000,0,0,255
415.972748,-571.442566,0.005100,0,0,255
415.639313,-571.189453,0.005200,0,0,255
415.305847,-570.936401,0.005300,0,0,255
414.972443,-570.683289,0.005400,0,0,255
414.544250,-570.361145,0.005500,0,0,255
414.207306,-570.108032,0.005600,0,0,255
413.870361,-569.854919,0.005700,0,0,255
413.533417,-569.601807,0.005800,0,0,255
413.196472,-569.348694,0.005900,0,0,255
412.859558,-569.095581,0.006000,0,0,255
412.522644,-568.842468,0.006100,0,0,255
412.185699,-568.589417,0.006200,0,0,255
411.848755,-568.336304,0.006300,0,0,255
411.511810,-568.083191,0.006400,0,0,255
411.174866,-567.830078,0.006500,0,0,255
410.837921,-567.576965,0.006600,0,0,255
410.500977,-567.323853,0.006700,0,0,255
410.164032,-567.070740,0.006800,0,0,255
409.827087,-566.817688,0.006900,0,0,255
409.209351,-566.472473,0.007000,0,0,255
408.872437,-566.242432,0.007100,0,0,255
408.535522,-566.012329,0.007200,0,0,255
408.198578,-565.782227,0.007300,0,0,255
407.861633,-565.552124,0.007400,0,0,255
407.524689,-565.322021,0.007500,0,0,255
407.187744,-565.091980,0.007600,0,0,255
406.850800,-564.861816,0.007700,0,0,255
406.513855,-564.631775,0.007800,0,0,255
406.176910,-564.401611,0.007900,0,0,255
405.839996,-564.171570,0.008000,0,0,255
405.503052,-563.941406,0.008100,0,0,255
405.166107,-563.711365,0.008200,0,0,255
404.829163,-563.481262,0.008300,0,0,255
404.492218,-563.251160,0.008400,0,0,255
404.155273,-563.021057,0.008500,0,0,255
403.562134,-562.445862,0.008600,0,0,255
403.232208,-562.192749,0.008700,0,0,255
402.902283,-561.939636,0.008800,0,0,255
402.572357,-561.686523,0.008900,0,0,255
402.242462,-561.433411,0.009000,0,0,255
401.912537,-561.180359,0.009100,0,0,255
