X,Y,Z,R,G,B
459.680115,-618.865234,0.000100,0,0,255
459.876648,-619.532532,0.000200,0,0,255
459.999481,-620.268860,0.000300,0,0,255
460.315369,-622.431763,0.000400,0,0,255
747.601807,-783.521729,0.000500,0,0,255
748.121277,-783.636780,0.000600,0,0,255
748.791626,-783.567749,0.000700,0,0,255
749.153137,-783.475769,0.000800,0,0,255
749.514648,-783.383667,0.000900,0,0,255
750.167480,-783.199585,0.001000,0,0,255
750.525452,-783.061584,0.001100,0,0,255
750.883484,-782.923462,0.001200,0,0,255
751.241455,-782.785400,0.001300,0,0,255
751.599487,-782.647400,0.001400,0,0,255
751.957458,-782.509338,0.001500,0,0,255
752.578674,-782.210144,0.001600,0,0,255
752.940186,-782.095154,0.001700,0,0,255
753.593018,-781.888062,0.001800,0,0,255
753.958069,-781.819031,0.001900,0,0,255
754.617859,-781.726990,0.002000,0,0,255
754.986450,-781.703979,0.002100,0,0,255
755.354919,-781.680969,0.002200,0,0,255
756.028809,-781.634949,0.002300,0,0,255
756.397339,-781.657959,0.002400,0,0,255
756.765869,-781.680969,0.002500,0,0,255
757.134399,-781.703979,0.002600,0,0,255
757.818848,-781.749939,0.002700,0,0,255
758.183838,-781.796021,0.002800,0,0,255
758.548828,-781.842041,0.002900,0,0,255
759.236755,-781.957031,0.003000,0,0,255
759.598267,-782.072144,0.003100,0,0,255
759.959778,-782.187195,0.003200,0,0,255
760.321228,-782.302246,0.003300,0,0,255
760.682800,-782.417236,0.003400,0,0,255
761.244324,-782.624329,0.003500,0,0,255
762.269226,-782.831421,0.003600,0,0,255
485.147095,-707.521118,0.003700,0,0,255
485.515594,-707.475098,0.003800,0,0,255
485.947327,-707.429138,0.003900,0,0,255
486.315887,-707.383118,0.004000,0,0,255
486.684387,-707.337097,0.004100,0,0,255
487.137177,-707.291077,0.004200,0,0,255
487.505676,-707.291077,0.004300,0,0,255
487.891724,-707.268005,0.004400,0,0,255
488.611267,-707.337097,0.004500,0,0,255
407.707184,-590.632507,0.004600,0,0,255
407.408875,-589.574097,0.004700,0,0,255
407.233368,-589.044922,0.004800,0,0,255
407.057861,-588.515686,0.004900,0,0,255
406.815735,-587.802368,0.005000,0,0,255
406.580536,-587.342163,0.005100,0,0,255
406.345398,-586.881958,0.005200,0,0,255
406.110260,-586.421753,0.005300,0,0,255
405.875061,-585.961609,0.005400,0,0,255
405.611847,-585.455383,0.005500,0,0,255
405.503052,-584.880188,0.005600,0,0,255
405.394257,-584.304932,0.005700,0,0,255
405.197693,-583.269470,0.005800,0,0,255
405.043274,-582.717224,0.005900,0,0,255
404.888824,-582.165039,0.006000,0,0,255
404.734406,-581.612793,0.006100,0,0,255
404.579987,-581.060608,0.006200,0,0,255
404.425537,-580.508301,0.006300,0,0,255
404.144745,-579.541992,0.006400,0,0,255
404.064056,-579.012695,0.006500,0,0,255
403.888550,-578.483459,0.006600,0,0,255
403.713043,-577.954285,0.006700,0,0,255
403.491913,-577.263977,0.006800,0,0,255
403.232208,-576.826782,0.006900,0,0,255
402.972473,-576.389587,0.007000,0,0,255
402.544312,-575.699341,0.007100,0,0,255
402.267029,-575.308167,0.007200,0,0,255
401.989746,-574.916992,0.007300,0,0,255
401.712494,-574.525818,0.007400,0,0,255
401.435181,-574.134705,0.007500,0,0,255
401.157928,-573.743469,0.007600,0,0,255
400.880676,-573.352356,0.007700,0,0,255
400.603394,-572.961182,0.007800,0,0,255
400.083923,-572.155884,0.007900,0,0,255
400.010223,-571.787720,0.008000,0,0,255
400.477051,-571.258484,0.008100,0,0,255
452.260406,-581.244629,0.008200,0,0,255
452.172668,-581.083557,0.008300,0,0,255
451.783081,-580.370239,0.008400,0,0,255
382.352509,-652.896423,0.008500,0,0,255
382.478851,-652.643311,0.008600,0,0,255
382.598206,-651.814941,0.008700,0,0,255
382.503418,-651.239746,0.008800,0,0,255
382.408661,-650.664490,0.008900,0,0,255
382.299835,-649.951233,0.009000,0,0,255
382.162964,-649.352966,0.009100,0,0,255
381.969940,-648.846741,0.009200,0,0,255
381.773376,-648.455566,0.009300,0,0,255
381.524200,-648.156433,0.009400,0,0,255
381.152130,-647.857300,0.009500,0,0,255
380.766083,-647.627258,0.009600,0,0,255
380.362457,-647.443115,0.009700,0,0,255
379.793884,-647.328125,0.009800,0,0,255
379.425354,-647.328125,0.009900,0,0,255
378.990112,-647.351135,0.010000,0,0,255
378.172363,-647.374146,0.010100,0,0,255
394.296326,-656.140747,0.010200,0,0,255
394.064667,-656.600952,0.010300,0,0,255
393.833008,-657.061157,0.010400,0,0,255
393.541687,-657.682434,0.010500,0,0,255
393.246887,-658.050598,0.010600,0,0,255
392.952057,-658.418762,0.010700,0,0,255
392.523865,-658.924988,0.010800,0,0,255
392.179901,-659.132080,0.010900,0,0,255
391.835938,-659.339111,0.011000,0,0,255
391.492004,-659.546143,0.011100,0,0,255
391.148010,-659.753235,0.011200,0,0,255
390.804077,-659.960327,0.011300,0,0,255
390.460114,-660.167419,0.011400,0,0,255
390.116150,-660.374512,0.011500,0,0,255
389.445801,-660.811707,0.011600,0,0,255
389.105316,-661.041809,0.011700,0,0,255
388.610474,-661.363953,0.011800,0,0,255
388.298096,-661.686035,0.011900,0,0,255
387.915527,-662.077271,0.012000,0,0,255
387.620697,-662.445374,0.012100,0,0,255
387.325867,-662.813538,0.012200,0,0,255
387.031067,-663.181702,0.012300,0,0,255
386.567749,-663.733948,0.012400,0,0,255
385.820160,-664.332153,0.012500,0,0,255
414.358246,-655.680542,0.012600,0,0,255
414.600433,-655.220398,0.012700,0,0,255
414.881195,-654.691162,0.012800,0,0,255
414.944366,-654.553162,0.012900,0,0,255
415.298859,-653.816833,0.013000,0,0,255
414.358246,-655.680542,0.013100,0,0,255
414.667084,-656.393860,0.013200,0,0,255
414.947876,-656.785095,0.013300,0,0,255
415.281311,-657.245239,0.013400,0,0,255
415.586670,-657.567383,0.013500,0,0,255
415.916565,-657.935547,0.013600,0,0,255
416.544830,-658.349731,0.013700,0,0,255
417.246765,-658.625793,0.013800,0,0,255
417.829407,-658.740845,0.013900,0,0,255
418.527863,-658.809875,0.014000,0,0,255
419.250854,-658.763855,0.014100,0,0,255
419.882629,-658.694824,0.014200,0,0,255
420.244141,-658.579773,0.014300,0,0,255
420.605652,-658.464783,0.014400,0,0,255
421.293579,-658.280640,0.014500,0,0,255
421.655060,-658.188599,0.014600,0,0,255
422.023590,-658.073547,0.014700,0,0,255
422.300903,-658.004578,0.014800,0,0,255
422.525513,-657.981506,0.014900,0,0,255
423.044952,-657.935547,0.015000,0,0,255
423.413483,-657.981506,0.015100,0,0,255
423.827637,-658.027527,0.015200,0,0,255
424.554138,-658.211670,0.015300,0,0,255
424.901611,-658.395691,0.015400,0,0,255
425.305237,-658.625793,0.015500,0,0,255
425.529877,-658.947937,0.015600,0,0,255
425.617615,-659.201050,0.015700,0,0,255
425.719421,-659.569214,0.015800,0,0,255
425.835236,-660.167419,0.015900,0,0,255
425.901917,-660.765686,0.016000,0,0,255
425.968597,-661.363953,0.016100,0,0,255
426.035309,-661.962219,0.016200,0,0,255
426.147583,-662.928589,0.016300,0,0,255
426.200226,-663.388794,0.016400,0,0,255
426.280975,-664.102112,0.016500,0,0,255
426.302032,-664.401245,0.016600,0,0,255
428.786987,-646.936951,0.016700,0,0,255
429.151978,-647.005981,0.016800,0,0,255
429.629303,-647.098022,0.016900,0,0,255
434.546539,-647.581238,0.017000,0,0,255
406.682343,-657.475342,0.017100,0,0,255
407.050873,-657.475342,0.017200,0,0,255
407.419403,-657.475342,0.017300,0,0,255
407.787933,-657.475342,0.017400,0,0,255
408.156464,-657.475342,0.017500,0,0,255
408.524994,-657.475342,0.017600,0,0,255
408.893494,-657.475342,0.017700,0,0,255
409.591949,-657.452332,0.017800,0,0,255
409.960480,-657.406250,0.017900,0,0,255
410.374634,-657.360291,0.018000,0,0,255
410.739655,-657.291260,0.018100,0,0,255
411.146790,-657.222229,0.018200,0,0,255
411.508270,-657.130188,0.018300,0,0,255
411.975098,-656.992188,0.018400,0,0,255
412.326080,-656.808044,0.018500,0,0,255
412.677032,-656.623962,0.018600,0,0,255
413.277222,-656.301819,0.018700,0,0,255
413.417603,-656.232849,0.018800,0,0,255
413.958130,-655.933655,0.018900,0,0,255
414.358246,-655.680542,0.019000,0,0,255
405.776794,-657.613342,0.019100,0,0,255
406.212006,-657.544373,0.019200,0,0,255
406.682343,-657.475342,0.019300,0,0,255
276.146393,-573.628479,0.019400,0,0,255
276.511414,-573.697449,0.019500,0,0,255
276.876434,-573.766541,0.019600,0,0,255
277.241455,-573.835571,0.019700,0,0,255
277.606445,-573.904541,0.019800,0,0,255
277.971497,-573.973633,0.019900,0,0,255
278.336517,-574.042664,0.020000,0,0,255
278.701508,-574.111633,0.020100,0,0,255
279.066559,-574.180725,0.020200,0,0,255
279.698303,-574.226746,0.020300,0,0,255
280.224792,-574.755981,0.020400,0,0,255
280.431824,-575.262146,0.020500,0,0,255
280.698608,-575.883362,0.020600,0,0,255
281.046082,-576.274597,0.020700,0,0,255
281.116241,-577.356018,0.020800,0,0,255
281.021484,-578.276367,0.020900,0,0,255
280.800354,-581.290649,0.021000,0,0,255
784.422974,-733.959106,0.021100,0,0,255
784.675659,-734.396362,0.021200,0,0,255
784.938904,-734.856506,0.021300,0,0,255
785.240784,-735.201660,0.021400,0,0,255
785.802307,-735.845886,0.021500,0,0,255
786.107666,-736.191040,0.021600,0,0,255
786.413025,-736.536255,0.021700,0,0,255
786.718384,-736.881348,0.021800,0,0,255
787.023743,-737.226501,0.021900,0,0,255
787.329102,-737.571594,0.022000,0,0,255
787.634399,-737.916748,0.022100,0,0,255
787.957275,-738.215881,0.022200,0,0,255
788.255676,-738.561035,0.022300,0,0,255
788.554016,-738.906189,0.022400,0,0,255
788.852356,-739.251343,0.022500,0,0,255
789.150635,-739.596436,0.022600,0,0,255
789.448975,-739.941650,0.022700,0,0,255
789.747314,-740.286804,0.022800,0,0,255
790.045654,-740.631897,0.022900,0,0,255
790.343994,-740.977051,0.023000,0,0,255
790.642334,-741.322144,0.023100,0,0,255
790.940674,-741.667358,0.023200,0,0,255
791.238953,-742.012512,0.023300,0,0,255
791.537292,-742.357605,0.023400,0,0,255
791.835632,-742.702759,0.023500,0,0,255
792.133972,-743.116943,0.023600,0,0,255
792.390198,-743.554138,0.023700,0,0,255
792.727173,-744.129333,0.023800,0,0,255
792.962280,-744.589539,0.023900,0,0,255
793.197449,-745.049744,0.024000,0,0,255
793.432617,-745.509949,0.024100,0,0,255
793.667725,-745.970093,0.024200,0,0,255
793.902893,-746.430298,0.024300,0,0,255
794.138062,-746.890503,0.024400,0,0,255
794.422363,-747.488770,0.024500,0,0,255
794.675049,-747.948914,0.024600,0,0,255
795.068176,-748.754272,0.024700,0,0,255
795.152405,-749.352478,0.024800,0,0,255
795.257690,-750.088806,0.024900,0,0,255
795.240173,-750.687073,0.025000,0,0,255
795.222595,-751.285278,0.025100,0,0,255
795.194519,-752.274719,0.025200,0,0,255
795.124329,-752.872986,0.025300,0,0,255
795.054138,-753.471191,0.025400,0,0,255
794.941833,-754.414612,0.025500,0,0,255
794.899719,-754.920837,0.025600,0,0,255
794.878662,-755.519104,0.025700,0,0,255
794.857605,-756.117310,0.025800,0,0,255
794.822449,-757.106750,0.025900,0,0,255
794.931274,-757.682007,0.026000,0,0,255
795.040039,-758.257202,0.026100,0,0,255
795.148865,-758.832458,0.026200,0,0,255
795.289246,-759.614807,0.026300,0,0,255
795.570007,-760.005981,0.026400,0,0,255
795.850830,-760.397095,0.026500,0,0,255
796.131653,-760.788330,0.026600,0,0,255
796.412415,-761.179443,0.026700,0,0,255
796.802002,-761.708679,0.026800,0,0,255
797.121399,-762.007812,0.026900,0,0,255
797.440796,-762.306946,0.027000,0,0,255
797.760132,-762.606018,0.027100,0,0,255
798.079529,-762.905151,0.027200,0,0,255
798.398926,-763.204285,0.027300,0,0,255
798.995605,-763.779541,0.027400,0,0,255
799.272888,-764.170654,0.027500,0,0,255
799.550171,-764.561829,0.027600,0,0,255
799.827393,-764.953003,0.027700,0,0,255
800.104675,-765.344177,0.027800,0,0,255
800.476746,-765.873413,0.027900,0,0,255
800.666260,-766.379639,0.028000,0,0,255
800.908386,-767.046936,0.028100,0,0,255
801.108521,-767.599121,0.028200,0,0,255
801.154114,-768.197388,0.028300,0,0,255
801.245361,-769.347839,0.028400,0,0,255
801.178650,-769.946106,0.028500,0,0,255
801.112000,-770.544373,0.028600,0,0,255
800.999695,-771.487732,0.028700,0,0,255
800.778564,-771.970947,0.028800,0,0,255
800.557495,-772.454102,0.028900,0,0,255
800.125732,-773.397522,0.029000,0,0,255
797.430298,-777.148071,0.029100,0,0,255
1430.005859,-708.326477,0.029200,0,0,255
1430.181274,-708.234436,0.029300,0,0,255
1430.686768,-708.073364,0.029400,0,0,255
1431.234253,-707.981323,0.029500,0,0,255
1431.820435,-707.912292,0.029600,0,0,255
1432.371460,-707.981323,0.029700,0,0,255
1433.062988,-708.142395,0.029800,0,0,255
1433.638428,-708.441528,0.029900,0,0,255
1434.200073,-708.855713,0.030000,0,0,255
1434.737061,-709.453918,0.030100,0,0,255
1435.007324,-709.868103,0.030200,0,0,255
1435.396851,-710.443359,0.030300,0,0,255
1435.663574,-710.857483,0.030400,0,0,255
1435.972534,-711.340759,0.030500,0,0,255
1436.474365,-712.169067,0.030600,0,0,255
1425.629150,-718.726807,0.030700,0,0,255
1425.130859,-718.082520,0.030800,0,0,255
1424.853516,-717.691345,0.030900,0,0,255
1424.576172,-717.300232,0.031000,0,0,255
1424.298950,-716.908997,0.031100,0,0,255
1423.951538,-716.402832,0.031200,0,0,255
1423.695312,-715.965637,0.031300,0,0,255
1423.277710,-715.275391,0.031400,0,0,255
1423.049438,-714.585083,0.031500,0,0,255
1423.049438,-713.779724,0.031600,0,0,255
1423.298706,-712.882385,0.031700,0,0,255
1422.403687,-704.967041,0.031800,0,0,255
1422.635254,-705.427246,0.031900,0,0,255
1422.866943,-705.887451,0.032000,0,0,255
1423.098511,-706.347656,0.032100,0,0,255
1423.330322,-706.807861,0.032200,0,0,255
1423.716309,-707.613159,0.032300,0,0,255
1423.877808,-708.165405,0.032400,0,0,255
1424.039307,-708.717590,0.032500,0,0,255
1424.221680,-709.315918,0.032600,0,0,255
1424.183105,-710.466370,0.032700,0,0,255
1423.944458,-711.156677,0.032800,0,0,255
1423.298706,-712.882385,0.032900,0,0,255
1430.005859,-708.326477,0.033000,0,0,255
1429.644409,-708.441528,0.033100,0,0,255
1428.981079,-708.625549,0.033200,0,0,255
1428.615967,-708.694641,0.033300,0,0,255
1428.040405,-708.832642,0.033400,0,0,255
1427.671875,-708.855713,0.033500,0,0,255
1427.236572,-708.901733,0.033600,0,0,255
1426.724121,-708.855713,0.033700,0,0,255
1426.278442,-708.740662,0.033800,0,0,255
1425.923950,-708.579590,0.033900,0,0,255
1425.566040,-708.418457,0.034000,0,0,255
1424.990356,-707.958313,0.034100,0,0,255
1422.961670,-705.749390,0.034200,0,0,255
1429.251221,-714.470032,0.034300,0,0,255
1429.086304,-713.940796,0.034400,0,0,255
1428.921265,-713.411560,0.034500,0,0,255
1428.714355,-712.721313,0.034600,0,0,255
1428.528198,-711.961975,0.034700,0,0,255
1428.447510,-711.294739,0.034800,0,0,255
1428.510742,-710.443359,0.034900,0,0,255
1428.840576,-709.707031,0.035000,0,0,255
1429.230225,-709.154846,0.035100,0,0,255
1430.005859,-708.326477,0.035200,0,0,255
1423.298706,-712.882385,0.035300,0,0,255
1423.618042,-712.583191,0.035400,0,0,255
1424.242798,-711.984985,0.035500,0,0,255
1424.604248,-711.846924,0.035600,0,0,255
1425.222046,-711.639832,0.035700,0,0,255
1425.590576,-711.662903,0.035800,0,0,255
1425.962524,-711.708923,0.035900,0,0,255
1426.324097,-711.823914,0.036000,0,0,255
1426.892700,-712.031006,0.036100,0,0,255
1428.707153,-713.733704,0.036200,0,0,255
747.212219,-777.056030,0.036300,0,0,255
747.594788,-777.332153,0.036400,0,0,255
747.949280,-777.493225,0.036500,0,0,255
748.426636,-777.700317,0.036600,0,0,255
749.051331,-777.999451,0.036700,0,0,255
749.423401,-778.344543,0.036800,0,0,255
749.763855,-778.873779,0.036900,0,0,255
750.041138,-779.518066,0.037000,0,0,255
750.178040,-780.323425,0.037100,0,0,255
750.202576,-781.266785,0.037200,0,0,255
749.911255,-782.095154,0.037300,0,0,255
749.363708,-782.762451,0.037400,0,0,255
748.795166,-783.107605,0.037500,0,0,255
747.601807,-783.521729,0.037600,0,0,255
756.018250,-780.162354,0.037700,0,0,255
755.674316,-779.955261,0.037800,0,0,255
755.330383,-779.748169,0.037900,0,0,255
754.835449,-779.449036,0.038000,0,0,255
754.484497,-779.264954,0.038100,0,0,255
754.031738,-779.034851,0.038200,0,0,255
753.705322,-778.758728,0.038300,0,0,255
753.084106,-778.206543,0.038400,0,0,255
752.575195,-777.585266,0.038500,0,0,255
752.175049,-776.940979,0.038600,0,0,255
751.824097,-776.342773,0.038700,0,0,255
751.518738,-775.675476,0.038800,0,0,255
751.129150,-774.824158,0.038900,0,0,255
750.637756,-774.041809,0.039000,0,0,255
750.335938,-773.696655,0.039100,0,0,255
750.009583,-773.328491,0.039200,0,0,255
749.686646,-773.029358,0.039300,0,0,255
749.300537,-772.684265,0.039400,0,0,255
748.960144,-772.454102,0.039500,0,0,255
748.595093,-772.200989,0.039600,0,0,255
747.622864,-771.809875,0.039700,0,0,255
747.622864,-771.809875,0.039800,0,0,255
747.931763,-772.132019,0.039900,0,0,255
748.500305,-772.730286,0.040000,0,0,255
748.819702,-773.397522,0.040100,0,0,255
748.886353,-773.972717,0.040200,0,0,255
748.812683,-774.525024,0.040300,0,0,255
748.493347,-775.169250,0.040400,0,0,255
747.963379,-775.744507,0.040500,0,0,255
747.608826,-775.905518,0.040600,0,0,255
747.254333,-776.066650,0.040700,0,0,255
746.885864,-776.204712,0.040800,0,0,255
746.517273,-776.181702,0.040900,0,0,255
746.148804,-776.158630,0.041000,0,0,255
745.755676,-776.158630,0.041100,0,0,255
745.394165,-776.043640,0.041200,0,0,255
745.032654,-775.928589,0.041300,0,0,255
744.439514,-775.767517,0.041400,0,0,255
743.172485,-775.675476,0.041500,0,0,255
742.196716,-769.462891,0.041600,0,0,255
742.421387,-768.979736,0.041700,0,0,255
742.645996,-768.496460,0.041800,0,0,255
743.095276,-767.553101,0.041900,0,0,255
743.502380,-766.701721,0.042000,0,0,255
743.962158,-765.597290,0.042100,0,0,255
747.622864,-771.809875,0.042200,0,0,255
747.268433,-771.648804,0.042300,0,0,255
746.913940,-771.487732,0.042400,0,0,255
746.380432,-771.280640,0.042500,0,0,255
746.025940,-771.119629,0.042600,0,0,255
745.671448,-770.958557,0.042700,0,0,255
745.316956,-770.797424,0.042800,0,0,255
744.646545,-770.521301,0.042900,0,0,255
742.196716,-769.462891,0.043000,0,0,255
747.601807,-783.521729,0.043100,0,0,255
747.233276,-783.475769,0.043200,0,0,255
746.643677,-783.429688,0.043300,0,0,255
746.278625,-783.337646,0.043400,0,0,255
745.580200,-783.153564,0.043500,0,0,255
745.225708,-782.992493,0.043600,0,0,255
744.871216,-782.831421,0.043700,0,0,255
744.464111,-782.670349,0.043800,0,0,255
744.127136,-782.417236,0.043900,0,0,255
743.481323,-781.957031,0.044000,0,0,255
743.168945,-781.634949,0.044100,0,0,255
742.635498,-781.105713,0.044200,0,0,255
742.354736,-780.714600,0.044300,0,0,255
741.807190,-779.955261,0.044400,0,0,255
741.382507,-779.034851,0.044500,0,0,255
741.066650,-778.114502,0.044600,0,0,255
740.926208,-777.562256,0.044700,0,0,255
797.430298,-777.148071,0.044800,0,0,255
797.788208,-777.286133,0.044900,0,0,255
798.146240,-777.424255,0.045000,0,0,255
798.504211,-777.562256,0.045100,0,0,255
798.862183,-777.700317,0.045200,0,0,255
799.220215,-777.838318,0.045300,0,0,255
799.578186,-777.976440,0.045400,0,0,255
799.936218,-778.114502,0.045500,0,0,255
800.294189,-778.252502,0.045600,0,0,255
800.652222,-778.390625,0.045700,0,0,255
801.010193,-778.528687,0.045800,0,0,255
801.368225,-778.666687,0.045900,0,0,255
801.726196,-778.804749,0.046000,0,0,255
802.084229,-778.942871,0.046100,0,0,255
802.442200,-779.080872,0.046200,0,0,255
802.800232,-779.218933,0.046300,0,0,255
803.158203,-779.357056,0.046400,0,0,255
803.516235,-779.495056,0.046500,0,0,255
803.874207,-779.633118,0.046600,0,0,255
804.232178,-779.771179,0.046700,0,0,255
804.590210,-779.909241,0.046800,0,0,255
804.948181,-780.047302,0.046900,0,0,255
805.306213,-780.185303,0.047000,0,0,255
805.664185,-780.323425,0.047100,0,0,255
806.022217,-780.461487,0.047200,0,0,255
806.380188,-780.599487,0.047300,0,0,255
806.738220,-780.737549,0.047400,0,0,255
807.096191,-780.875671,0.047500,0,0,255
807.454224,-781.013672,0.047600,0,0,255
807.812195,-781.151733,0.047700,0,0,255
808.170227,-781.289856,0.047800,0,0,255
808.528198,-781.427856,0.047900,0,0,255
808.886230,-781.565918,0.048000,0,0,255
809.244202,-781.703979,0.048100,0,0,255
809.602173,-781.842041,0.048200,0,0,255
809.960205,-781.980103,0.048300,0,0,255
810.318115,-782.118164,0.048400,0,0,255
810.676147,-782.256226,0.048500,0,0,255
811.034119,-782.394287,0.048600,0,0,255
811.392151,-782.532288,0.048700,0,0,255
811.750122,-782.670349,0.048800,0,0,255
812.108154,-782.808472,0.048900,0,0,255
812.466125,-782.946472,0.049000,0,0,255
812.824158,-783.084534,0.049100,0,0,255
813.182129,-783.222656,0.049200,0,0,255
813.540161,-783.360657,0.049300,0,0,255
813.898132,-783.498718,0.049400,0,0,255
814.256165,-783.636780,0.049500,0,0,255
814.614136,-783.774841,0.049600,0,0,255
814.972168,-783.912903,0.049700,0,0,255
815.330139,-784.050964,0.049800,0,0,255
815.688171,-784.188965,0.049900,0,0,255
816.046143,-784.327087,0.050000,0,0,255
816.404114,-784.465149,0.050100,0,0,255
816.762146,-784.603149,0.050200,0,0,255
817.120117,-784.741272,0.050300,0,0,255
817.478149,-784.879272,0.050400,0,0,255
817.836121,-785.017334,0.050500,0,0,255
818.194153,-785.155457,0.050600,0,0,255
818.699585,-785.845703,0.050700,0,0,255
819.054077,-786.006775,0.050800,0,0,255
819.408508,-786.167847,0.050900,0,0,255
819.763000,-786.328857,0.051000,0,0,255
