X,Y,Z,R,G,B
1174.016235,-169.442444,0.000100,46,204,113
1199.627075,-159.847458,0.000200,46,204,113
1215.793213,-180.003830,0.000300,46,204,113
1235.318115,-201.770874,0.000400,46,204,113
1204.877686,-221.144943,0.000500,46,204,113
1186.819824,-199.170807,0.000600,46,204,113
1174.016235,-169.442444,0.000700,46,204,113
1177.697998,-172.916885,0.000800,46,204,113
1181.379639,-184.973892,0.000900,46,204,113
1181.379639,-178.945404,0.001000,46,204,113
1181.379639,-172.916885,0.001100,46,204,113
1181.379639,-166.888382,0.001200,46,204,113
1185.061401,-191.002396,0.001300,46,204,113
1185.061401,-184.973892,0.001400,46,204,113
1185.061401,-178.945404,0.001500,46,204,113
1185.061401,-172.916885,0.001600,46,204,113
1185.061401,-166.888382,0.001700,46,204,113
1188.743286,-197.030914,0.001800,46,204,113
1188.743286,-191.002396,0.001900,46,204,113
1188.743286,-184.973892,0.002000,46,204,113
1188.743286,-178.945404,0.002100,46,204,113
1188.743286,-172.916885,0.002200,46,204,113
1188.743286,-166.888382,0.002300,46,204,113
1192.425049,-203.059418,0.002400,46,204,113
1192.425049,-197.030914,0.002500,46,204,113
1192.425049,-191.002396,0.002600,46,204,113
1192.425049,-184.973892,0.002700,46,204,113
1192.425049,-178.945404,0.002800,46,204,113
1192.425049,-172.916885,0.002900,46,204,113
1192.425049,-166.888382,0.003000,46,204,113
1196.106689,-209.087921,0.003100,46,204,113
1196.106689,-203.059418,0.003200,46,204,113
1196.106689,-197.030914,0.003300,46,204,113
1196.106689,-191.002396,0.003400,46,204,113
1196.106689,-184.973892,0.003500,46,204,113
1196.106689,-178.945404,0.003600,46,204,113
1196.106689,-172.916885,0.003700,46,204,113
1196.106689,-166.888382,0.003800,46,204,113
1199.788574,-209.087921,0.003900,46,204,113
1199.788574,-203.059418,0.004000,46,204,113
1199.788574,-197.030914,0.004100,46,204,113
1199.788574,-191.002396,0.004200,46,204,113
1199.788574,-184.973892,0.004300,46,204,113
1199.788574,-178.945404,0.004400,46,204,113
1199.788574,-172.916885,0.004500,46,204,113
1199.788574,-166.888382,0.004600,46,204,113
1199.788574,-160.859879,0.004700,46,204,113
1203.470337,-215.116440,0.004800,46,204,113
1203.470337,-209.087921,0.004900,46,204,113
1203.470337,-203.059418,0.005000,46,204,113
1203.470337,-197.030914,0.005100,46,204,113
1203.470337,-191.002396,0.005200,46,204,113
1203.470337,-184.973892,0.005300,46,204,113
1203.470337,-178.945404,0.005400,46,204,113
1203.470337,-172.916885,0.005500,46,204,113
1203.470337,-166.888382,0.005600,46,204,113
1207.152100,-215.116440,0.005700,46,204,113
1207.152100,-209.087921,0.005800,46,204,113
1207.152100,-203.059418,0.005900,46,204,113
1207.152100,-197.030914,0.006000,46,204,113
1207.152100,-191.002396,0.006100,46,204,113
1207.152100,-184.973892,0.006200,46,204,113
1207.152100,-178.945404,0.006300,46,204,113
1207.152100,-172.916885,0.006400,46,204,113
1210.833740,-215.116440,0.006500,46,204,113
1210.833740,-209.087921,0.006600,46,204,113
1210.833740,-203.059418,0.006700,46,204,113
1210.833740,-197.030914,0.006800,46,204,113
1210.833740,-191.002396,0.006900,46,204,113
1210.833740,-184.973892,0.007000,46,204,113
1210.833740,-178.945404,0.007100,46,204,113
1214.515625,-209.087921,0.007200,46,204,113
1214.515625,-203.059418,0.007300,46,204,113
1214.515625,-197.030914,0.007400,46,204,113
1214.515625,-191.002396,0.007500,46,204,113
1214.515625,-184.973892,0.007600,46,204,113
1214.515625,-178.945404,0.007700,46,204,113
1218.197388,-209.087921,0.007800,46,204,113
1218.197388,-203.059418,0.007900,46,204,113
1218.197388,-197.030914,0.008000,46,204,113
1218.197388,-191.002396,0.008100,46,204,113
1218.197388,-184.973892,0.008200,46,204,113
1221.879150,-209.087921,0.008300,46,204,113
1221.879150,-203.059418,0.008400,46,204,113
1221.879150,-197.030914,0.008500,46,204,113
1221.879150,-191.002396,0.008600,46,204,113
1225.560791,-203.059418,0.008700,46,204,113
1225.560791,-197.030914,0.008800,46,204,113
1225.560791,-191.002396,0.008900,46,204,113
1229.242676,-203.059418,0.009000,46,204,113
1229.242676,-197.030914,0.009100,46,204,113
1232.924438,-203.059418,0.009200,46,204,113
