X,Y,Z,R,G,B
1383.683716,-582.441101,0.000100,0,0,255
1383.227417,-581.750854,0.000200,0,0,255
1382.985352,-581.290649,0.000300,0,0,255
1382.644897,-580.669373,0.000400,0,0,255
1382.374512,-580.255188,0.000500,0,0,255
1382.072754,-579.794983,0.000600,0,0,255
1381.833984,-579.334900,0.000700,0,0,255
1381.560303,-578.805603,0.000800,0,0,255
1381.367188,-578.299438,0.000900,0,0,255
1381.174316,-577.793213,0.001000,0,0,255
1380.981201,-577.286987,0.001100,0,0,255
1380.788208,-576.780823,0.001200,0,0,255
1380.433594,-575.814392,0.001300,0,0,255
1380.770630,-575.239136,0.001400,0,0,255
1380.447754,-574.963074,0.001500,0,0,255
1379.861572,-574.433838,0.001600,0,0,255
1379.387695,-573.559448,0.001700,0,0,255
1379.089355,-573.214294,0.001800,0,0,255
1378.791016,-572.869202,0.001900,0,0,255
1378.492676,-572.523987,0.002000,0,0,255
1378.194458,-572.178833,0.002100,0,0,255
1377.896118,-571.833740,0.002200,0,0,255
1377.597778,-571.488586,0.002300,0,0,255
1377.299438,-571.143494,0.002400,0,0,255
1377.001099,-570.798279,0.002500,0,0,255
1376.702759,-570.407104,0.002600,0,0,255
1376.478027,-569.923950,0.002700,0,0,255
1376.253540,-569.440735,0.002800,0,0,255
1376.028931,-568.957581,0.002900,0,0,255
1375.804199,-568.474304,0.003000,0,0,255
1375.579590,-567.991150,0.003100,0,0,255
1375.354980,-567.507935,0.003200,0,0,255
1375.130371,-567.024780,0.003300,0,0,255
1374.807495,-566.403503,0.003400,0,0,255
1374.533691,-565.989319,0.003500,0,0,255
1374.260010,-565.575134,0.003600,0,0,255
1373.986084,-565.160950,0.003700,0,0,255
1373.712402,-564.746765,0.003800,0,0,255
1373.385986,-564.309631,0.003900,0,0,255
1373.586060,-563.803406,0.004000,0,0,255
1373.786133,-563.297180,0.004100,0,0,255
1374.017822,-562.721924,0.004200,0,0,255
1373.701904,-562.422791,0.004300,0,0,255
1373.385986,-562.123718,0.004400,0,0,255
1373.070190,-561.824585,0.004500,0,0,255
1372.754272,-561.525452,0.004600,0,0,255
