X,Y,Z,R,G,B
-4460.578125,-319.976807,0.000010,0,255,0
-4501.991211,-343.666077,0.000020,0,255,0
-4212.227051,-504.741669,0.000030,0,255,0
-2582.545166,119.991302,0.000040,0,255,0
-697.488770,485.973358,0.000050,0,255,0
-4467.759277,-162.906647,0.000060,0,255,0
-4681.563477,-161.361694,0.000070,0,255,0
-4739.141602,-100.650787,0.000080,0,255,0
-4788.036133,-312.080383,0.000090,0,255,0
-4638.147461,-285.987854,0.000100,0,255,0
-4531.159180,-270.938873,0.000110,0,255,0
-4490.961914,-248.222351,0.000120,0,255,0
-5219.736328,42.114258,0.000130,0,255,0
-4892.120117,-19.741058,0.000140,0,255,0
-4466.571777,-247.650146,0.000150,0,255,0
-5020.766113,-282.325745,0.000160,0,255,0
-4906.339844,-295.600891,0.000170,0,255,0
-995.864868,-228.424072,0.000180,0,255,0
-562.877686,-465.774536,0.000190,0,255,0
-559.487366,-449.924469,0.000200,0,255,0
-566.582703,-443.973541,0.000210,0,255,0
-4549.712891,-183.162689,0.000220,0,255,0
-4562.287109,-163.936615,0.000230,0,255,0
-4404.673340,-78.563690,0.000240,0,255,0
-4535.851562,276.031494,0.000250,0,255,0
-4536.838379,-37.250519,0.000260,0,255,0
-4461.779785,-497.417450,0.000270,0,255,0
-4446.272949,-465.145111,0.000280,0,255,0
-4452.180664,-477.161407,0.000290,0,255,0
-4430.623047,-482.997894,0.000300,0,255,0
-4426.660645,-451.240540,0.000310,0,255,0
-4410.009277,-490.093231,0.000320,0,255,0
-4396.905762,-561.790466,0.000330,0,255,0
-4344.005371,-576.610596,0.000340,0,255,0
-4327.011230,-570.602417,0.000350,0,255,0
-4322.261719,-560.760498,0.000360,0,255,0
-4280.104492,20.313263,0.000370,0,255,0
-3023.958252,484.771729,0.000380,0,255,0
-4537.596680,-587.539673,0.000390,0,255,0
-4529.142578,-526.599854,0.000400,0,255,0
-4582.143066,-578.441650,0.000410,0,255,0
-4510.717285,-433.673859,0.000420,0,255,0
-4509.830566,-474.929810,0.000430,0,255,0
-4406.132812,-473.384857,0.000440,0,255,0
-4640.836914,-533.180237,0.000450,0,255,0
-4453.997559,-403.175354,0.000460,0,255,0
-4669.203613,-554.866821,0.000470,0,255,0
-4406.404297,-356.369019,0.000480,0,255,0
-4536.867188,-114.269257,0.000490,0,255,0
-4536.953125,13.160706,0.000500,0,255,0
-4481.320312,-163.421631,0.000510,0,255,0
-4539.198730,-181.274414,0.000520,0,255,0
-4440.479492,59.680939,0.000530,0,255,0
-4442.839844,73.928833,0.000540,0,255,0
-4451.980469,40.969849,0.000550,0,255,0
-4334.421387,27.008057,0.000560,0,255,0
-4310.703125,-38.337708,0.000570,0,255,0
-4321.932617,17.852783,0.000580,0,255,0
-4241.022949,-48.007965,0.000590,0,255,0
-4373.545410,-79.135895,0.000600,0,255,0
-4377.608398,-71.868896,0.000610,0,255,0
-4539.456543,-156.497955,0.000620,0,255,0
-4281.334961,12.016296,0.000630,0,255,0
-4277.243652,-10.414124,0.000640,0,255,0
-4236.717285,-12.760162,0.000650,0,255,0
-4515.437988,-243.473053,0.000660,0,255,0
-4531.517090,-226.020813,0.000670,0,255,0
-4458.589355,-150.260925,0.000680,0,255,0
-4635.629883,-181.560516,0.000690,0,255,0
-4644.026855,-93.154907,0.000700,0,255,0
-4382.901367,-525.856018,0.000710,0,255,0
-4387.364258,-508.918762,0.000720,0,255,0
-4372.201172,-418.567657,0.000730,0,255,0
-4361.915527,-421.886444,0.000740,0,255,0
-4380.469238,-426.750183,0.000750,0,255,0
-4466.371582,-333.824158,0.000760,0,255,0
-4485.225586,-327.587128,0.000770,0,255,0
-4458.174805,-363.292694,0.000780,0,255,0
-4506.754883,-210.456848,0.000790,0,255,0
-4505.481934,-207.881927,0.000800,0,255,0
-4522.046875,-157.871246,0.000810,0,255,0
-4511.947754,-208.969116,0.000820,0,255,0
-4359.455078,-410.671234,0.000830,0,255,0
-4504.666504,-279.407501,0.000840,0,255,0
-4501.604980,-271.797180,0.000850,0,255,0
-4849.920410,9.212494,0.000860,0,255,0
-4890.432129,15.563965,0.000870,0,255,0
-4915.137207,29.697418,0.000880,0,255,0
-4404.144531,-361.404419,0.000890,0,255,0
-4502.191406,-266.532898,0.000900,0,255,0
-4578.695312,-190.544128,0.000910,0,255,0
-4301.476562,-456.447601,0.000920,0,255,0
-3412.871338,-598.125488,0.000930,0,255,0
-3393.602295,-590.972900,0.000940,0,255,0
-3326.568604,-557.327271,0.000950,0,255,0
-3490.304932,-589.084595,0.000960,0,255,0
-4090.847900,-542.449951,0.000970,0,255,0
-4439.048828,-508.632660,0.000980,0,255,0
-4441.123047,-511.264801,0.000990,0,255,0
-4442.367676,-513.610840,0.001000,0,255,0
-4436.917480,-515.613525,0.001010,0,255,0
-4432.897461,-511.379242,0.001020,0,255,0
-4433.398438,-513.725281,0.001030,0,255,0
-4432.067871,-508.117676,0.001040,0,255,0
-956.897705,-228.137970,0.001050,0,255,0
-4093.637451,-537.300110,0.001060,0,255,0
-4478.001465,-410.385132,0.001070,0,255,0
-4624.915039,-431.499481,0.001080,0,255,0
-4627.976562,-426.063538,0.001090,0,255,0
-4659.791016,-385.494232,0.001100,0,255,0
-4715.480957,-340.690613,0.001110,0,255,0
-4728.055176,-347.785950,0.001120,0,255,0
-4735.779785,-356.311798,0.001130,0,255,0
-4706.912109,-372.962952,0.001140,0,255,0
-3512.649414,-589.485168,0.001150,0,255,0
-3469.991699,-589.427979,0.001160,0,255,0
-3980.455322,-534.324646,0.001170,0,255,0
-3127.441406,-675.888062,0.001180,0,255,0
-4565.834961,327.587128,0.001190,0,255,0
-2619.609863,-452.098846,0.001200,0,255,0
-2624.416260,-428.409576,0.001210,0,255,0
-2635.760254,-438.766479,0.001220,0,255,0
-2518.301025,-385.208130,0.001230,0,255,0
-3123.479004,-473.327637,0.001240,0,255,0
-841.126465,-176.811218,0.001250,0,255,0
-4506.740723,-207.424164,0.001260,0,255,0
-3711.791016,558.414429,0.001270,0,255,0
-571.489319,-54.702759,0.001280,0,255,0
-3781.056396,-572.490723,0.001290,0,255,0
-3116.826904,-476.188660,0.001300,0,255,0
-948.200195,-115.642548,0.001310,0,255,0
-4505.424316,-198.898315,0.001320,0,255,0
-2049.765625,-258.922577,0.001330,0,255,0
-1998.281494,-324.897766,0.001340,0,255,0
-4703.664551,66.604614,0.001350,0,255,0
-998.010620,-174.579620,0.001360,0,255,0
-4339.670898,16.365051,0.001370,0,255,0
-4356.637207,15.678406,0.001380,0,255,0
-4374.289551,15.621185,0.001390,0,255,0
-4461.250488,-79.307556,0.001400,0,255,0
-4775.490723,-497.188568,0.001410,0,255,0
-4728.312500,-27.523041,0.001420,0,255,0
-4698.872559,-552.062988,0.001430,0,255,0
-4539.728027,-117.187500,0.001440,0,255,0
-4645.542969,87.890625,0.001450,0,255,0
-4624.542969,-494.670868,0.001460,0,255,0
-4714.708496,-323.181152,0.001470,0,255,0
-4689.974609,-325.012207,0.001480,0,255,0
-4602.312988,-284.328461,0.001490,0,255,0
-4129.771973,-106.029510,0.001500,0,255,0
-4505.395996,-283.470154,0.001510,0,255,0
-4396.062012,-86.917877,0.001520,0,255,0
-2698.316650,300.636292,0.001530,0,255,0
