X,Y,Z,R,G,B
-4028.448975,-468.692780,0.000010,0,255,255
-4032.697754,-470.409393,0.000020,0,255,255
-4033.284180,-470.695496,0.000030,0,255,255
-4034.414307,-471.210480,0.000040,0,255,255
-4034.557373,-471.382141,0.000050,0,255,255
-4035.186768,-471.611023,0.000060,0,255,255
-4035.859131,-472.068787,0.000070,0,255,255
-4037.375488,-473.041534,0.000080,0,255,255
-4037.790283,-473.442078,0.000090,0,255,255
-4037.961914,-473.613739,0.000100,0,255,255
-4038.090820,-473.670959,0.000110,0,255,255
-4038.705811,-474.071503,0.000120,0,255,255
-4039.206543,-474.472046,0.000130,0,255,255
-4039.321045,-474.643707,0.000140,0,255,255
-4040.222168,-474.929810,0.000150,0,255,255
-4040.393799,-475.044250,0.000160,0,255,255
-4041.337891,-475.444794,0.000170,0,255,255
-4042.324951,-476.016998,0.000180,0,255,255
-4042.510986,-476.131439,0.000190,0,255,255
-4043.183350,-476.531982,0.000200,0,255,255
-4044.227539,-476.932526,0.000210,0,255,255
-4045.143066,-477.275848,0.000220,0,255,255
-4046.158691,-477.676392,0.000230,0,255,255
-4046.344727,-477.733612,0.000240,0,255,255
-4047.417725,-478.191376,0.000250,0,255,255
-4048.161621,-478.591919,0.000260,0,255,255
-4048.619385,-478.992462,0.000270,0,255,255
-4048.590576,-479.049683,0.000280,0,255,255
-4048.690918,-479.164124,0.000290,0,255,255
-4049.291504,-479.450226,0.000300,0,255,255
-4049.305908,-479.564667,0.000310,0,255,255
-4049.749268,-479.736328,0.000320,0,255,255
-4050.607666,-480.251312,0.000330,0,255,255
-4051.394531,-480.594635,0.000340,0,255,255
-4052.195557,-480.995178,0.000350,0,255,255
-4052.624756,-481.452942,0.000360,0,255,255
-4053.468750,-482.025146,0.000370,0,255,255
-4053.998047,-482.196808,0.000380,0,255,255
-4054.041016,-482.425690,0.000390,0,255,255
-4055.113770,-483.169556,0.000400,0,255,255
-4055.142334,-483.226776,0.000410,0,255,255
-4055.714600,-483.455658,0.000420,0,255,255
-4056.100830,-483.741760,0.000430,0,255,255
-4056.029297,-483.741760,0.000440,0,255,255
-4056.458496,-484.027863,0.000450,0,255,255
-4056.844727,-484.085083,0.000460,0,255,255
-4058.318115,-484.600067,0.000470,0,255,255
-4058.861816,-484.943390,0.000480,0,255,255
-4059.019043,-485.000610,0.000490,0,255,255
-4059.719971,-485.515594,0.000500,0,255,255
-4060.220703,-485.858917,0.000510,0,255,255
-4061.093262,-486.316681,0.000520,0,255,255
-4061.980225,-486.888885,0.000530,0,255,255
-4062.995850,-487.346649,0.000540,0,255,255
-4063.839844,-487.804413,0.000550,0,255,255
-4064.855469,-488.719940,0.000560,0,255,255
-4065.427734,-489.349365,0.000570,0,255,255
-4065.914062,-489.864349,0.000580,0,255,255
-4066.543457,-490.264893,0.000590,0,255,255
-4067.144287,-490.951538,0.000600,0,255,255
-4067.802490,-491.466522,0.000610,0,255,255
-4068.074219,-491.638184,0.000620,0,255,255
-4068.589111,-492.038727,0.000630,0,255,255
-4068.718018,-492.153168,0.000640,0,255,255
-4068.846680,-492.324829,0.000650,0,255,255
-4069.175781,-492.897034,0.000660,0,255,255
-4069.962402,-493.354797,0.000670,0,255,255
-4070.978271,-493.869781,0.000680,0,255,255
-4071.822266,-494.499207,0.000690,0,255,255
-4072.523193,-495.128632,0.000700,0,255,255
-4073.267090,-495.700836,0.000710,0,255,255
-4073.867676,-496.273041,0.000720,0,255,255
-4074.654541,-496.845245,0.000730,0,255,255
-4075.369873,-497.360229,0.000740,0,255,255
-4075.770264,-497.817993,0.000750,0,255,255
-4076.571533,-498.332977,0.000760,0,255,255
-4077.687256,-499.019623,0.000770,0,255,255
-4078.602783,-499.763489,0.000780,0,255,255
-4079.360840,-500.335693,0.000790,0,255,255
-4079.718506,-500.450134,0.000800,0,255,255
-4080.490967,-501.136780,0.000810,0,255,255
-4081.220703,-501.708984,0.000820,0,255,255
-4082.021729,-502.281189,0.000830,0,255,255
-4082.808594,-502.853394,0.000840,0,255,255
-4083.022949,-502.910614,0.000850,0,255,255
-4083.867188,-503.540039,0.000860,0,255,255
-4084.224609,-503.883362,0.000870,0,255,255
-4084.367676,-504.112244,0.000880,0,255,255
-4084.696777,-504.455566,0.000890,0,255,255
-4085.140137,-504.970551,0.000900,0,255,255
-4085.197510,-505.599976,0.000910,0,255,255
-4085.183105,-505.771637,0.000920,0,255,255
-4085.483643,-506.229401,0.000930,0,255,255
-4085.569336,-506.515503,0.000940,0,255,255
-4085.540771,-506.629944,0.000950,0,255,255
-4086.012939,-507.259369,0.000960,0,255,255
-4086.341797,-507.717133,0.000970,0,255,255
-4086.499268,-508.003235,0.000980,0,255,255
-4087.042725,-508.575439,0.000990,0,255,255
-4087.143066,-508.804321,0.001000,0,255,255
-4087.514893,-509.376526,0.001010,0,255,255
-4087.801025,-509.548187,0.001020,0,255,255
-4088.115723,-510.292053,0.001030,0,255,255
-4088.659180,-510.749817,0.001040,0,255,255
-4088.916748,-510.921478,0.001050,0,255,255
-4089.403076,-511.436462,0.001060,0,255,255
-4089.446045,-512.065918,0.001070,0,255,255
