X,Y,Z,R,G,B
-2174.720703,1022.300720,0.000010,243,156,18
-2148.327881,1020.183594,0.000020,243,156,18
-2125.053467,1023.731201,0.000030,243,156,18
-2127.900146,1020.927429,0.000040,243,156,18
-2177.996582,715.484619,0.000050,243,156,18
-2203.273682,686.130493,0.000060,243,156,18
-2154.135742,705.013306,0.000070,243,156,18
-2324.266357,512.752563,0.000080,243,156,18
-2270.564941,491.180420,0.000090,243,156,18
-2270.564941,491.180420,0.000100,243,156,18
-2199.282715,716.857910,0.000110,243,156,18
-2081.522949,698.375732,0.000120,243,156,18
-2313.094238,707.645386,0.000130,243,156,18
-3426.518555,-600.185425,0.000140,243,156,18
-3082.337402,-417.594910,0.000150,243,156,18
-4236.674316,36.907196,0.000160,243,156,18
-4028.148682,108.947754,0.000170,243,156,18
-2599.654297,1314.754517,0.000180,243,156,18
-2637.963379,1362.647949,0.000190,243,156,18
-2637.963379,1362.647949,0.000200,243,156,18
-2599.182129,1315.155029,0.000210,243,156,18
-2496.128174,1335.639893,0.000220,243,156,18
-2350.401855,1220.340698,0.000230,243,156,18
-2336.697510,1230.583252,0.000240,243,156,18
-2359.557129,1263.942749,0.000250,243,156,18
-2403.588379,1227.378906,0.000260,243,156,18
-1708.273926,1477.603882,0.000270,243,156,18
-1692.752808,1504.611938,0.000280,243,156,18
-1791.329346,1404.762207,0.000290,243,156,18
-3166.551514,1076.946289,0.000300,243,156,18
-3747.711182,995.693237,0.000310,243,156,18
-2189.183350,1018.867493,0.000320,243,156,18
-4290.890625,-432.701111,0.000330,243,156,18
-4265.842285,-451.927185,0.000340,243,156,18
-2739.415283,993.747681,0.000350,243,156,18
-2125.210693,1549.987793,0.000360,243,156,18
-5394.930664,-112.781525,0.000370,243,156,18
-2842.183105,-538.043945,0.000380,243,156,18
332.021729,-314.426422,0.000390,243,156,18
319.104187,-329.132080,0.000400,243,156,18
311.622620,-331.764221,0.000410,243,156,18
300.464630,-333.595276,0.000420,243,156,18
-2364.377930,1179.084717,0.000430,243,156,18
-2883.896729,-641.441345,0.000440,243,156,18
-1279.649780,-82.397461,0.000450,243,156,18
-2319.688721,722.293823,0.000460,243,156,18
-4859.934082,-286.674500,0.000470,243,156,18
-2694.869141,-411.071777,0.000480,243,156,18
18353.847656,-817245.000000,0.000490,243,156,18
-3083.767822,1147.785156,0.000500,243,156,18
-5266.170410,-447.978973,0.000510,243,156,18
-1044.201904,-55.904388,0.000520,243,156,18
-1091.280029,-14.247894,0.000530,243,156,18
-1454.901733,-91.667175,0.000540,243,156,18
-1006.464966,-46.634674,0.000550,243,156,18
-1665.873535,1059.665649,0.000560,243,156,18
-4296.755859,-425.434113,0.000570,243,156,18
-4274.511230,-445.804596,0.000580,243,156,18
-4240.336426,-404.376984,0.000590,243,156,18
-4292.707520,-431.098938,0.000600,243,156,18
-4272.150879,-421.257019,0.000610,243,156,18
-4391.226562,-361.461639,0.000620,243,156,18
-4489.059570,-121.421814,0.000630,243,156,18
-4526.624512,-124.797821,0.000640,243,156,18
-4561.286133,-144.367218,0.000650,243,156,18
-4515.810059,-116.043091,0.000660,243,156,18
-4564.748047,-132.236481,0.000670,243,156,18
-4329.643066,-91.266632,0.000680,243,156,18
-4404.673340,-92.754364,0.000690,243,156,18
-4552.374023,-138.359070,0.000700,243,156,18
-4499.702637,-120.792389,0.000710,243,156,18
-4433.669922,-152.263641,0.000720,243,156,18
-4402.069824,-348.415375,0.000730,243,156,18
-4448.676270,-206.680298,0.000740,243,156,18
-4448.218262,-206.909180,0.000750,243,156,18
-3947.539307,-106.887817,0.000760,243,156,18
-4026.947021,-140.304565,0.000770,243,156,18
-4154.935059,-149.917603,0.000780,243,156,18
-4135.107910,-153.808594,0.000790,243,156,18
-4123.978516,-153.121948,0.000800,243,156,18
-4182.014648,-138.645172,0.000810,243,156,18
866.189026,-407.981873,0.000820,243,156,18
899.491333,-408.210754,0.000830,243,156,18
915.169739,-410.385132,0.000840,243,156,18
909.948364,-415.019989,0.000850,243,156,18
-2013.730957,-299.148560,0.000860,243,156,18
-2720.618164,1360.759766,0.000870,243,156,18
-2451.109863,-688.533813,0.000880,243,156,18
-2445.702637,-675.258667,0.000890,243,156,18
-2023.086548,-587.539673,0.000900,243,156,18
-4874.353516,-336.284637,0.000910,243,156,18
-2058.162598,-261.497498,0.000920,243,156,18
-2090.363525,-253.314972,0.000930,243,156,18
-2115.282959,-230.998993,0.000940,243,156,18
-833.759277,-450.496674,0.000950,243,156,18
-1982.102417,-330.734253,0.000960,243,156,18
-2959.742432,-458.908081,0.000970,243,156,18
-5252.280273,-157.928467,0.000980,243,156,18
-3469.977295,-620.098145,0.000990,243,156,18
-3496.270264,-931.835205,0.001000,243,156,18
18353.847656,-817245.000000,0.001010,243,156,18
-1817.407593,-389.728546,0.001020,243,156,18
-1282.553711,-484.485626,0.001030,243,156,18
-2151.532227,-656.604736,0.001040,243,156,18
308.246613,-238.437653,0.001050,243,156,18
-2001.886353,-571.804077,0.001060,243,156,18
-2689.804932,1349.144043,0.001070,243,156,18
-1106.786743,1313.838989,0.001080,243,156,18
-1735.267578,-566.196411,0.001090,243,156,18
-4982.943359,-398.998260,0.001100,243,156,18
-4453.268066,-633.716553,0.001110,243,156,18
-2774.663086,-280.380249,0.001120,243,156,18
-1997.752197,-327.243805,0.001130,243,156,18
-2779.984375,1282.825439,0.001140,243,156,18
-2088.389404,-362.262726,0.001150,243,156,18
-3133.020508,-387.325287,0.001160,243,156,18
-1917.371704,-464.916229,0.001170,243,156,18
-2769.556152,1292.438477,0.001180,243,156,18
-1988.925903,825.347900,0.001190,243,156,18
-1031.570435,-104.084015,0.001200,243,156,18
317.988403,-335.998535,0.001210,243,156,18
-523.009277,-62.541962,0.001220,243,156,18
-276.961334,-21.915436,0.001230,243,156,18
-2044.444092,-590.572388,0.001240,243,156,18
168.313980,-111.064911,0.001250,243,156,18
-1412.859009,-241.069794,0.001260,243,156,18
-1766.338379,-625.133545,0.001270,243,156,18
-4120.345215,-529.918701,0.001280,243,156,18
-4546.451660,-279.407501,0.001290,243,156,18
-4791.841309,-330.047607,0.001300,243,156,18
-2448.677979,1321.449219,0.001310,243,156,18
-4610.252441,-344.924927,0.001320,243,156,18
-1806.049316,-435.619354,0.001330,243,156,18
-3305.125244,380.115509,0.001340,243,156,18
-3230.180664,415.706635,0.001350,243,156,18
-3139.257324,441.112518,0.001360,243,156,18
-3006.019531,491.752625,0.001370,243,156,18
-2924.966797,530.090332,0.001380,243,156,18
-2861.051514,548.458130,0.001390,243,156,18
-2808.666260,568.942993,0.001400,243,156,18
-2754.449951,568.370850,0.001410,243,156,18
-2012.515015,808.696777,0.001420,243,156,18
-4226.889648,62.370300,0.001430,243,156,18
-4565.448730,-781.574219,0.001440,243,156,18
-4460.077148,-627.021790,0.001450,243,156,18
-1282.081543,-483.913422,0.001460,243,156,18
-942.120544,-489.063263,0.001470,243,156,18
-4145.521973,-164.794922,0.001480,243,156,18
-977.568604,-482.196808,0.001490,243,156,18
-4821.310059,-741.291016,0.001500,243,156,18
18353.847656,-817245.000000,0.001510,243,156,18
18353.847656,-817245.000000,0.001520,243,156,18
18353.847656,-817245.000000,0.001530,243,156,18
18353.847656,-817245.000000,0.001540,243,156,18
-2728.672119,-471.668243,0.001550,243,156,18
-2616.534180,-405.750275,0.001560,243,156,18
130.534180,-137.729645,0.001570,243,156,18
-1329.503052,-221.157074,0.001580,243,156,18
-1402.387573,-229.740143,0.001590,243,156,18
-284.385681,-22.487640,0.001600,243,156,18
-913.367249,-222.301483,0.001610,243,156,18
-976.381287,-224.132538,0.001620,243,156,18
573.177368,-587.882996,0.001630,243,156,18
-2820.725342,-730.533569,0.001640,243,156,18
-1852.655396,-636.177063,0.001650,243,156,18
-4272.708984,-559.730530,0.001660,243,156,18
-4282.607910,-478.878021,0.001670,243,156,18
-4574.360840,-150.089264,0.001680,243,156,18
-4620.151367,-193.462372,0.001690,243,156,18
-4547.367188,-278.949738,0.001700,243,156,18
-4650.492676,-274.658203,0.001710,243,156,18
-4692.249512,-302.867889,0.001720,243,156,18
-4714.507812,-304.641724,0.001730,243,156,18
-4702.062500,-399.398804,0.001740,243,156,18
-4664.783691,-180.130005,0.001750,243,156,18
-4638.461914,-183.448792,0.001760,243,156,18
-4576.678223,-149.917603,0.001770,243,156,18
-4428.634766,-86.917877,0.001780,243,156,18
-4431.409668,-42.057037,0.001790,243,156,18
-4440.021484,-33.245087,0.001800,243,156,18
-4423.756836,-75.244904,0.001810,243,156,18
-4427.719238,-88.005066,0.001820,243,156,18
-4400.153320,36.563873,0.001830,243,156,18
-4254.555664,-87.318420,0.001840,243,156,18
-4254.555664,-87.318420,0.001850,243,156,18
-4242.868652,-60.253143,0.001860,243,156,18
-4201.397949,-25.062561,0.001870,243,156,18
-4450.664551,-9.956360,0.001880,243,156,18
-4452.509766,-9.727478,0.001890,243,156,18
-4452.509766,-9.727478,0.001900,243,156,18
-5000.596191,-0.858307,0.001910,243,156,18
-4743.275879,-100.536346,0.001920,243,156,18
-4538.154785,-621.986389,0.001930,243,156,18
-4705.267090,-397.338867,0.001940,243,156,18
-4307.728027,49.667358,0.001950,243,156,18
-4636.159180,-184.135437,0.001960,243,156,18
-2706.155762,1126.499146,0.001970,243,156,18
-2710.933594,1239.681274,0.001980,243,156,18
