X,Y,Z,R,G,B
-4497.842773,-219.039917,0.000010,0,0,0
-4497.041504,-220.699310,0.000020,0,0,0
-4496.541016,-222.530365,0.000030,0,0,0
-4495.253418,-227.909088,0.000040,0,0,0
-3324.336914,-628.509521,0.000050,0,0,0
-3322.219727,-628.795654,0.000060,0,0,0
-3319.487549,-628.623962,0.000070,0,0,0
-3318.014160,-628.395081,0.000080,0,0,0
-3316.540771,-628.166199,0.000090,0,0,0
-3313.879883,-627.708435,0.000100,0,0,0
-3312.420898,-627.365112,0.000110,0,0,0
-3310.961670,-627.021790,0.000120,0,0,0
-3309.502686,-626.678467,0.000130,0,0,0
-3308.043457,-626.335144,0.000140,0,0,0
-3306.584473,-625.991821,0.000150,0,0,0
-3304.052246,-625.247925,0.000160,0,0,0
-3302.578857,-624.961853,0.000170,0,0,0
-3299.918213,-624.446899,0.000180,0,0,0
-3298.430420,-624.275208,0.000190,0,0,0
-3295.740967,-624.046326,0.000200,0,0,0
-3294.239014,-623.989136,0.000210,0,0,0
-3292.737061,-623.931885,0.000220,0,0,0
-3289.990479,-623.817444,0.000230,0,0,0
-3288.488281,-623.874634,0.000240,0,0,0
-3286.986328,-623.931885,0.000250,0,0,0
-3285.484375,-623.989136,0.000260,0,0,0
-3282.694824,-624.103516,0.000270,0,0,0
-3281.207031,-624.218018,0.000280,0,0,0
-3279.719238,-624.332397,0.000290,0,0,0
-3276.915527,-624.618530,0.000300,0,0,0
-3275.442139,-624.904663,0.000310,0,0,0
-3273.968750,-625.190735,0.000320,0,0,0
-3272.495361,-625.476807,0.000330,0,0,0
-3271.021729,-625.762939,0.000340,0,0,0
-3268.732910,-626.277954,0.000350,0,0,0
-3264.555908,-626.792908,0.000360,0,0,0
-4394.044922,-439.510345,0.000370,0,0,0
-4392.542969,-439.395905,0.000380,0,0,0
-4390.783203,-439.281464,0.000390,0,0,0
-4389.281250,-439.167023,0.000400,0,0,0
-4387.779297,-439.052582,0.000410,0,0,0
-4385.934082,-438.938141,0.000420,0,0,0
-4384.431641,-438.938141,0.000430,0,0,0
-4382.858398,-438.880920,0.000440,0,0,0
-4379.925781,-439.052582,0.000450,0,0,0
-4709.672852,-148.830414,0.000460,0,0,0
-4710.888672,-146.198273,0.000470,0,0,0
-4711.604004,-144.882202,0.000480,0,0,0
-4712.319336,-143.566132,0.000490,0,0,0
-4713.306641,-141.792297,0.000500,0,0,0
-4714.264648,-140.647888,0.000510,0,0,0
-4715.223145,-139.503479,0.000520,0,0,0
-4716.181641,-138.359070,0.000530,0,0,0
-4717.140137,-137.214661,0.000540,0,0,0
-4718.212891,-135.955811,0.000550,0,0,0
-4718.656738,-134.525299,0.000560,0,0,0
-4719.100098,-133.094788,0.000570,0,0,0
-4719.900879,-130.519867,0.000580,0,0,0
-4720.530273,-129.146576,0.000590,0,0,0
-4721.160156,-127.773285,0.000600,0,0,0
-4721.789551,-126.399994,0.000610,0,0,0
-4722.418945,-125.026703,0.000620,0,0,0
-4723.048340,-123.653412,0.000630,0,0,0
-4724.192383,-121.250153,0.000640,0,0,0
-4724.521484,-119.934082,0.000650,0,0,0
-4725.236816,-118.618011,0.000660,0,0,0
-4725.952148,-117.301941,0.000670,0,0,0
-4726.853516,-115.585327,0.000680,0,0,0
-4727.912109,-114.498138,0.000690,0,0,0
