X,Y,Z,R,G,B
-731.806763,-128.459930,0.000010,255,255,0
-733.666443,-126.743317,0.000020,255,255,0
-734.653442,-125.598907,0.000030,255,255,0
-736.041077,-124.053955,0.000040,255,255,0
-737.142578,-123.023987,0.000050,255,255,0
-738.372803,-121.879578,0.000060,255,255,0
-739.345581,-120.735168,0.000070,255,255,0
-740.461365,-119.419098,0.000080,255,255,0
-741.248108,-118.160248,0.000090,255,255,0
-742.034912,-116.901398,0.000100,255,255,0
-742.821716,-115.642548,0.000110,255,255,0
-743.608459,-114.383698,0.000120,255,255,0
-745.053284,-111.980438,0.000130,255,255,0
-743.679993,-110.549927,0.000140,255,255,0
-744.996094,-109.863281,0.000150,255,255,0
-747.385010,-108.547211,0.000160,255,255,0
-749.316223,-106.372833,0.000170,255,255,0
-750.532166,-105.514526,0.000180,255,255,0
-751.748108,-104.656219,0.000190,255,255,0
-752.963989,-103.797913,0.000200,255,255,0
-754.179932,-102.939606,0.000210,255,255,0
-755.395874,-102.081299,0.000220,255,255,0
-756.611816,-101.222992,0.000230,255,255,0
-757.827759,-100.364685,0.000240,255,255,0
-759.043701,-99.506378,0.000250,255,255,0
-760.259644,-98.533630,0.000260,255,255,0
-761.175171,-97.332001,0.000270,255,255,0
-762.090698,-96.130371,0.000280,255,255,0
-763.006226,-94.928741,0.000290,255,255,0
-763.921753,-93.727112,0.000300,255,255,0
-764.837280,-92.525482,0.000310,255,255,0
-765.752808,-91.323853,0.000320,255,255,0
-766.668335,-90.122223,0.000330,255,255,0
-767.984375,-88.577271,0.000340,255,255,0
-769.100220,-87.547302,0.000350,255,255,0
-770.216003,-86.517334,0.000360,255,255,0
-771.331787,-85.487366,0.000370,255,255,0
-772.447571,-84.457397,0.000380,255,255,0
-773.777954,-83.370209,0.000390,255,255,0
-772.962585,-82.111359,0.000400,255,255,0
-772.147156,-80.852509,0.000410,255,255,0
-771.203064,-79.421997,0.000420,255,255,0
-772.490479,-78.678131,0.000430,255,255,0
-773.777954,-77.934265,0.000440,255,255,0
-775.065430,-77.190399,0.000450,255,255,0
-776.352905,-76.446533,0.000460,255,255,0
-777.640320,-75.702667,0.000470,255,255,0
-778.927795,-74.958801,0.000480,255,255,0
-780.215271,-74.214935,0.000490,255,255,0
-781.502747,-73.471069,0.000500,255,255,0
-783.433899,-72.154999,0.000510,255,255,0
-785.050415,-70.438385,0.000520,255,255,0
-786.366455,-69.751740,0.000530,255,255,0
-788.583740,-68.550110,0.000540,255,255,0
-789.813965,-67.691803,0.000550,255,255,0
-791.487671,-66.490173,0.000560,255,255,0
-793.733582,-64.659119,0.000570,255,255,0
-795.350098,-63.686371,0.000580,255,255,0
-796.852112,-63.571930,0.000590,255,255,0
-798.354126,-63.457489,0.000600,255,255,0
-800.499939,-63.343048,0.000610,255,255,0
-801.644348,-62.370300,0.000620,255,255,0
-803.389526,-60.882568,0.000630,255,255,0
-804.033264,-58.879852,0.000640,255,255,0
-802.216553,-58.078766,0.000650,255,255,0
-802.102112,-58.021545,0.000660,255,255,0
-799.527161,-56.877136,0.000670,255,255,0
-800.442688,-55.675507,0.000680,255,255,0
-801.358215,-54.473877,0.000690,255,255,0
-802.273743,-53.272247,0.000700,255,255,0
-803.461060,-51.784515,0.000710,255,255,0
-804.634094,-50.868988,0.000720,255,255,0
-805.807129,-49.953461,0.000730,255,255,0
-806.980103,-49.037933,0.000740,255,255,0
-808.153137,-48.122406,0.000750,255,255,0
-809.326172,-47.206879,0.000760,255,255,0
-810.499207,-46.291351,0.000770,255,255,0
-812.530518,-44.631958,0.000780,255,255,0
-814.390198,-43.258667,0.000790,255,255,0
-815.377258,-41.656494,0.000800,255,255,0
-816.235535,-40.969849,0.000810,255,255,0
-818.324097,-40.569305,0.000820,255,255,0
-818.939209,-40.569305,0.000830,255,255,0
-819.568604,-40.397644,0.000840,255,255,0
-819.783203,-39.997101,0.000850,255,255,0
-819.754578,-39.539337,0.000860,255,255,0
-818.910583,-38.280487,0.000870,255,255,0
-817.751892,-36.563873,0.000880,255,255,0
-816.278442,-36.277771,0.000890,255,255,0
-816.292786,-35.648346,0.000900,255,255,0
-2429.995605,-663.871765,0.000910,255,255,0
-2431.855225,-664.386719,0.000920,255,255,0
-4117.183594,-526.313782,0.000930,255,255,0
-4116.983398,-525.512695,0.000940,255,255,0
-4117.169434,-524.368286,0.000950,255,255,0
-4116.482910,-523.281128,0.000960,255,255,0
-4113.964844,-519.676208,0.000970,255,255,0
-4184.918457,-572.433472,0.000980,255,255,0
-4183.487793,-571.975708,0.000990,255,255,0
-4182.057617,-571.517944,0.001000,255,255,0
-4179.568359,-570.716858,0.001010,255,255,0
-4178.209473,-570.087402,0.001020,255,255,0
-4176.850098,-569.458008,0.001030,255,255,0
-4175.491211,-568.828613,0.001040,255,255,0
-4174.132324,-568.199158,0.001050,255,255,0
-4172.773438,-567.569702,0.001060,255,255,0
-4170.456055,-566.368103,0.001070,255,255,0
-4169.182617,-565.567017,0.001080,255,255,0
-4167.909668,-564.765930,0.001090,255,255,0
-4166.636230,-563.964844,0.001100,255,255,0
-4165.363281,-563.163757,0.001110,255,255,0
-4163.990234,-562.362671,0.001120,255,255,0
-4162.673828,-561.676025,0.001130,255,255,0
-4161.357910,-560.989380,0.001140,255,255,0
-4160.041992,-560.302734,0.001150,255,255,0
-4158.725586,-559.616089,0.001160,255,255,0
-4157.409668,-558.929443,0.001170,255,255,0
-4156.093750,-558.242798,0.001180,255,255,0
-4153.533203,-556.755066,0.001190,255,255,0
-4152.216797,-556.068420,0.001200,255,255,0
-4150.900879,-555.381775,0.001210,255,255,0
-4149.584961,-554.695129,0.001220,255,255,0
-4148.268555,-554.008484,0.001230,255,255,0
-4146.952637,-553.321838,0.001240,255,255,0
-4145.636719,-552.635193,0.001250,255,255,0
-4144.320312,-551.948547,0.001260,255,255,0
-4142.561035,-550.861328,0.001270,255,255,0
-4141.302246,-550.060303,0.001280,255,255,0
-4140.043457,-549.259155,0.001290,255,255,0
-4138.784180,-548.458130,0.001300,255,255,0
-4136.752930,-547.027588,0.001310,255,255,0
-4135.508301,-546.169312,0.001320,255,255,0
-4134.264160,-545.310974,0.001330,255,255,0
-4133.019531,-544.452637,0.001340,255,255,0
-4131.774902,-543.594360,0.001350,255,255,0
-4130.530273,-542.736084,0.001360,255,255,0
-4128.985352,-541.820557,0.001370,255,255,0
-4127.254395,-539.531738,0.001380,255,255,0
-4548.311035,333.824158,0.001390,255,255,0
-4549.813477,333.824158,0.001400,255,255,0
-4551.315430,333.824158,0.001410,255,255,0
-4552.817383,333.824158,0.001420,255,255,0
-4554.319336,333.824158,0.001430,255,255,0
-4555.821289,333.824158,0.001440,255,255,0
-4557.323242,333.824158,0.001450,255,255,0
-4558.825684,333.824158,0.001460,255,255,0
-4560.327637,333.824158,0.001470,255,255,0
-4561.829590,333.824158,0.001480,255,255,0
-4563.331543,333.824158,0.001490,255,255,0
-4565.534668,333.538055,0.001500,255,255,0
-4566.807617,332.908630,0.001510,255,255,0
-4569.454102,331.707001,0.001520,255,255,0
-4569.854492,331.478119,0.001530,255,255,0
-4570.984863,330.219269,0.001540,255,255,0
-4572.329590,327.930450,0.001550,255,255,0
-4573.802734,326.499939,0.001560,255,255,0
-4574.804199,325.584412,0.001570,255,255,0
-4576.163086,324.954987,0.001580,255,255,0
-4577.522461,324.325562,0.001590,255,255,0
-4579.696777,323.295593,0.001600,255,255,0
-4581.184570,323.181152,0.001610,255,255,0
-4583.773438,322.952271,0.001620,255,255,0
-4585.232910,322.608948,0.001630,255,255,0
-4586.691895,322.265625,0.001640,255,255,0
-4588.150879,321.922302,0.001650,255,255,0
-4589.609863,321.578979,0.001660,255,255,0
-4591.069336,321.235657,0.001670,255,255,0
-4592.528320,320.892334,0.001680,255,255,0
-4593.987305,320.549011,0.001690,255,255,0
-4595.446777,320.205688,0.001700,255,255,0
-4596.905762,319.862366,0.001710,255,255,0
-4598.364746,319.519043,0.001720,255,255,0
-4599.823730,319.175720,0.001730,255,255,0
-4601.283203,318.832397,0.001740,255,255,0
-4602.742188,318.489075,0.001750,255,255,0
-4604.516113,317.916870,0.001760,255,255,0
-4605.660645,316.944122,0.001770,255,255,0
-4607.033691,315.799713,0.001780,255,255,0
-4608.178223,314.826965,0.001790,255,255,0
-4609.322754,313.854218,0.001800,255,255,0
-4610.466797,312.881470,0.001810,255,255,0
-4611.611328,311.908722,0.001820,255,255,0
-4613.185059,310.649872,0.001830,255,255,0
-4614.515137,309.963226,0.001840,255,255,0
-4615.845703,309.276581,0.001850,255,255,0
-4617.176270,308.589935,0.001860,255,255,0
-4618.506348,307.903290,0.001870,255,255,0
-4619.836914,307.216644,0.001880,255,255,0
-4621.166992,306.529999,0.001890,255,255,0
-4623.799316,305.213928,0.001900,255,255,0
-4625.973633,305.271149,0.001910,255,255,0
-4627.118164,306.243896,0.001920,255,255,0
-4628.262695,307.216644,0.001930,255,255,0
-4629.406738,308.189392,0.001940,255,255,0
-4630.551270,309.162140,0.001950,255,255,0
-4631.695801,310.134888,0.001960,255,255,0
-4632.840332,311.107635,0.001970,255,255,0
-4633.984375,312.080383,0.001980,255,255,0
-4635.128906,313.053131,0.001990,255,255,0
-4636.273438,314.025879,0.002000,255,255,0
-4637.417969,314.998627,0.002010,255,255,0
-4638.962891,316.143036,0.002020,255,255,0
-4641.566406,316.944122,0.002030,255,255,0
-4643.054199,316.715240,0.002040,255,255,0
-4644.541504,316.486359,0.002050,255,255,0
-4646.658691,316.257477,0.002060,255,255,0
-4648.146484,316.085815,0.002070,255,255,0
-4649.634277,315.914154,0.002080,255,255,0
-4651.122070,315.742493,0.002090,255,255,0
-4652.609863,315.570831,0.002100,255,255,0
-4654.770020,315.227509,0.002110,255,255,0
-4656.286133,314.025879,0.002120,255,255,0
-4656.114746,312.538147,0.002130,255,255,0
-4655.942871,311.050415,0.002140,255,255,0
-4655.771484,309.562683,0.002150,255,255,0
-4655.599609,308.074951,0.002160,255,255,0
-4655.427734,306.587219,0.002170,255,255,0
-4655.213379,304.355621,0.002180,255,255,0
-4655.527832,303.096771,0.002190,255,255,0
-4657.916992,301.952362,0.002200,255,255,0
-4660.406250,300.922394,0.002210,255,255,0
-4661.908203,300.922394,0.002220,255,255,0
-4663.410156,300.922394,0.002230,255,255,0
-4664.912109,300.922394,0.002240,255,255,0
-4666.686035,301.036835,0.002250,255,255,0
-4668.173828,300.807953,0.002260,255,255,0
-4669.661621,300.579071,0.002270,255,255,0
-4671.149414,300.350189,0.002280,255,255,0
-4674.053223,299.949646,0.002290,255,255,0
-4675.526855,299.663544,0.002300,255,255,0
-4677.000000,299.377441,0.002310,255,255,0
-4679.489258,298.919678,0.002320,255,255,0
-4680.862305,298.290253,0.002330,255,255,0
-4682.235840,297.660828,0.002340,255,255,0
-4683.608887,297.031403,0.002350,255,255,0
-4685.196777,296.344757,0.002360,255,255,0
-4686.484375,295.543671,0.002370,255,255,0
-4687.771973,294.742584,0.002380,255,255,0
-4689.059082,293.941498,0.002390,255,255,0
-4690.346680,293.140411,0.002400,255,255,0
-4691.634277,292.339325,0.002410,255,255,0
-4692.921875,291.538239,0.002420,255,255,0
-4694.208984,290.737152,0.002430,255,255,0
-4695.496582,289.936066,0.002440,255,255,0
-4696.784180,289.134979,0.002450,255,255,0
-4698.071289,288.333893,0.002460,255,255,0
-4699.358887,287.532806,0.002470,255,255,0
-4700.646484,286.731720,0.002480,255,255,0
-4701.934082,285.930634,0.002490,255,255,0
-4703.722168,285.072327,0.002500,255,255,0
-4705.195312,284.786224,0.002510,255,255,0
-4706.668945,284.500122,0.002520,255,255,0
-4708.142090,284.214020,0.002530,255,255,0
-4710.774414,283.699036,0.002540,255,255,0
-4711.990234,284.557343,0.002550,255,255,0
-4713.206055,285.415649,0.002560,255,255,0
-4714.422363,286.273956,0.002570,255,255,0
-4715.638184,287.132263,0.002580,255,255,0
-4716.854004,287.990570,0.002590,255,255,0
-4718.069824,288.848877,0.002600,255,255,0
-4719.286133,289.707184,0.002610,255,255,0
-4720.501953,290.565491,0.002620,255,255,0
-4722.361328,292.167664,0.002630,255,255,0
-4723.777832,292.682648,0.002640,255,255,0
-4725.193848,293.197632,0.002650,255,255,0
-4726.610352,293.712616,0.002660,255,255,0
-4728.026367,294.227600,0.002670,255,255,0
-4729.828613,294.857025,0.002680,255,255,0
-4731.288086,294.513702,0.002690,255,255,0
-4732.747070,294.170380,0.002700,255,255,0
-4734.206055,293.827057,0.002710,255,255,0
-4735.665527,293.483734,0.002720,255,255,0
-4737.124512,293.140411,0.002730,255,255,0
-4738.583496,292.797089,0.002740,255,255,0
-4740.042480,292.453766,0.002750,255,255,0
-4741.501953,292.110443,0.002760,255,255,0
-4742.960938,291.767120,0.002770,255,255,0
-4744.419922,291.423798,0.002780,255,255,0
-4745.879395,291.080475,0.002790,255,255,0
-4747.338379,290.737152,0.002800,255,255,0
-4748.797363,290.393829,0.002810,255,255,0
-4750.256348,290.050507,0.002820,255,255,0
-4751.715820,289.707184,0.002830,255,255,0
-4753.174805,289.363861,0.002840,255,255,0
-4754.633789,289.020538,0.002850,255,255,0
-4756.093262,288.677216,0.002860,255,255,0
-4757.552246,288.333893,0.002870,255,255,0
-4759.011230,287.990570,0.002880,255,255,0
-4760.470215,287.647247,0.002890,255,255,0
-4762.973633,286.788940,0.002900,255,255,0
-4764.461426,286.960602,0.002910,255,255,0
-4765.949219,287.132263,0.002920,255,255,0
-4767.437012,287.303925,0.002930,255,255,0
-4768.924805,287.475586,0.002940,255,255,0
-4770.412598,287.647247,0.002950,255,255,0
-4771.900391,287.818909,0.002960,255,255,0
-4773.387695,287.990570,0.002970,255,255,0
-4774.875488,288.162231,0.002980,255,255,0
-4776.363281,288.333893,0.002990,255,255,0
-4777.851074,288.505554,0.003000,255,255,0
-4779.338867,288.677216,0.003010,255,255,0
-4780.826660,288.848877,0.003020,255,255,0
-4782.314453,289.020538,0.003030,255,255,0
-4783.802246,289.192200,0.003040,255,255,0
-4785.289551,289.363861,0.003050,255,255,0
-4786.777344,289.535522,0.003060,255,255,0
-4788.265137,289.707184,0.003070,255,255,0
-4789.752930,289.878845,0.003080,255,255,0
-4791.240723,290.050507,0.003090,255,255,0
-4792.728516,290.222168,0.003100,255,255,0
-4794.216309,290.393829,0.003110,255,255,0
-4795.704102,290.565491,0.003120,255,255,0
-4797.191406,290.737152,0.003130,255,255,0
-4798.679199,290.908813,0.003140,255,255,0
-4800.166992,291.080475,0.003150,255,255,0
-4801.654785,291.252136,0.003160,255,255,0
-4803.271484,291.767120,0.003170,255,255,0
-4804.658691,291.194916,0.003180,255,255,0
-4806.046387,290.622711,0.003190,255,255,0
-4807.434082,290.050507,0.003200,255,255,0
-4808.821777,289.478302,0.003210,255,255,0
-4810.209473,288.906097,0.003220,255,255,0
-4811.596680,288.333893,0.003230,255,255,0
-4812.984375,287.761688,0.003240,255,255,0
-4814.372070,287.189484,0.003250,255,255,0
-4816.017090,286.617279,0.003260,255,255,0
-4817.504883,286.388397,0.003270,255,255,0
-4818.992676,286.159515,0.003280,255,255,0
-4820.480469,285.930634,0.003290,255,255,0
-4821.968262,285.701752,0.003300,255,255,0
-4823.456055,285.472870,0.003310,255,255,0
-4824.943359,285.243988,0.003320,255,255,0
-4826.431152,285.015106,0.003330,255,255,0
-4827.918945,284.786224,0.003340,255,255,0
-4829.406738,284.557343,0.003350,255,255,0
-4830.894531,284.328461,0.003360,255,255,0
-4832.382324,284.099579,0.003370,255,255,0
-4833.870117,283.870697,0.003380,255,255,0
-4835.629395,283.699036,0.003390,255,255,0
-4837.131348,283.813477,0.003400,255,255,0
-4838.633301,283.927917,0.003410,255,255,0
-4840.135742,284.042358,0.003420,255,255,0
-4841.637695,284.156799,0.003430,255,255,0
-4843.139648,284.271240,0.003440,255,255,0
-4845.385742,284.500122,0.003450,255,255,0
-4846.873047,284.328461,0.003460,255,255,0
-4848.360840,284.156799,0.003470,255,255,0
-4849.848633,283.985138,0.003480,255,255,0
-4851.365234,283.813477,0.003490,255,255,0
-4853.067383,282.096863,0.003500,255,255,0
-2428.679443,-663.528442,0.003510,255,255,0
-2429.995605,-663.871765,0.003520,255,255,0
-2422.056152,-661.582947,0.003530,255,255,0
-2428.679443,-663.528442,0.003540,255,255,0
-2128.586670,-679.435730,0.003550,255,255,0
-2131.419189,-679.264038,0.003560,255,255,0
-2134.180176,-679.206848,0.003570,255,255,0
-2135.667725,-679.435730,0.003580,255,255,0
-2137.155518,-679.664612,0.003590,255,255,0
-2139.158203,-679.950684,0.003600,255,255,0
-2143.707275,-680.637329,0.003610,255,255,0
-2125.954590,-680.980713,0.003620,255,255,0
-2128.586670,-679.435730,0.003630,255,255,0
-4427.290039,-91.381073,0.003640,255,255,0
-4426.789062,-92.525482,0.003650,255,255,0
-5295.166992,73.127747,0.003660,255,255,0
-5289.087402,73.814392,0.003670,255,255,0
-2954.020508,-319.747925,0.003680,255,255,0
-2954.835938,-319.862366,0.003690,255,255,0
-2956.223389,-320.434570,0.003700,255,255,0
-2957.611084,-321.006775,0.003710,255,255,0
-2958.998779,-321.578979,0.003720,255,255,0
-2960.386230,-322.151184,0.003730,255,255,0
-2961.773926,-322.723389,0.003740,255,255,0
-2963.161377,-323.295593,0.003750,255,255,0
-2964.549072,-323.867798,0.003760,255,255,0
-2965.936768,-324.440002,0.003770,255,255,0
-2967.324219,-325.012207,0.003780,255,255,0
-2968.711914,-325.584412,0.003790,255,255,0
-2970.099365,-326.156616,0.003800,255,255,0
-2971.487061,-326.728821,0.003810,255,255,0
-2972.874756,-327.301025,0.003820,255,255,0
-2975.206299,-327.930450,0.003830,255,255,0
-2976.593994,-328.502655,0.003840,255,255,0
-2977.981445,-329.074860,0.003850,255,255,0
-2979.369141,-329.647064,0.003860,255,255,0
-2980.756836,-330.219269,0.003870,255,255,0
-2982.144287,-330.791473,0.003880,255,255,0
-2984.275879,-331.649780,0.003890,255,255,0
-2985.677734,-332.164764,0.003900,255,255,0
-2987.079590,-332.736969,0.003910,255,255,0
-2989.039307,-333.480835,0.003920,255,255,0
-3006.777832,-340.862274,0.003930,255,255,0
-534.009949,-57.449341,0.003940,255,255,0
-535.297363,-56.648254,0.003950,255,255,0
-536.584839,-55.847168,0.003960,255,255,0
-537.872314,-55.046082,0.003970,255,255,0
-539.159790,-54.244995,0.003980,255,255,0
-540.447266,-53.443909,0.003990,255,255,0
-542.650208,-52.185059,0.004000,255,255,0
-543.880493,-51.326752,0.004010,255,255,0
-545.110718,-50.468445,0.004020,255,255,0
-546.340942,-49.610138,0.004030,255,255,0
-547.571167,-48.751831,0.004040,255,255,0
-548.801392,-47.893524,0.004050,255,255,0
-550.031677,-47.035217,0.004060,255,255,0
-551.261902,-46.176910,0.004070,255,255,0
-552.492126,-45.318604,0.004080,255,255,0
-553.936951,-44.403076,0.004090,255,255,0
-555.138611,-43.487549,0.004100,255,255,0
-556.340210,-42.572021,0.004110,255,255,0
-557.541870,-41.656494,0.004120,255,255,0
-558.743469,-40.740967,0.004130,255,255,0
-559.945129,-39.825439,0.004140,255,255,0
-561.146729,-38.909912,0.004150,255,255,0
-562.348389,-37.994385,0.004160,255,255,0
-563.549988,-37.078857,0.004170,255,255,0
-564.751648,-36.163330,0.004180,255,255,0
-565.953247,-35.247803,0.004190,255,255,0
-567.154907,-34.332275,0.004200,255,255,0
-568.356506,-33.416748,0.004210,255,255,0
-569.558167,-32.501221,0.004220,255,255,0
-571.103088,-31.757355,0.004230,255,255,0
-572.447754,-31.070709,0.004240,255,255,0
-573.792480,-30.384064,0.004250,255,255,0
-575.137146,-29.697418,0.004260,255,255,0
-576.481812,-29.010773,0.004270,255,255,0
-577.826477,-28.324127,0.004280,255,255,0
-579.171204,-27.637482,0.004290,255,255,0
-580.515869,-26.950836,0.004300,255,255,0
-581.860535,-26.264191,0.004310,255,255,0
-583.205200,-25.577545,0.004320,255,255,0
-584.878906,-24.890900,0.004330,255,255,0
-585.951782,-23.860931,0.004340,255,255,0
-587.024658,-22.830963,0.004350,255,255,0
-588.097595,-21.800995,0.004360,255,255,0
-589.170471,-20.771027,0.004370,255,255,0
-590.529419,-19.340515,0.004380,255,255,0
-592.117310,-17.280579,0.004390,255,255,0
-3603.701660,831.012695,0.004400,255,255,0
-3609.466553,829.868286,0.004410,255,255,0
